timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_social_welfare,0,4.0,7.532,0.854,20.546,3.2534,1.5,10,work,True
0,finetuned_social_welfare,1,4.0,8.095,1.139,21.109,3.2534,1.5,10,work,True
0,finetuned_social_welfare,2,4.0,8.184,1.106,21.198,3.2534,1.5,10,work,True
0,finetuned_social_welfare,3,4.0,7.207,0.902,20.22,3.2534,1.5,10,work,True
0,finetuned_social_welfare,4,4.0,7.715,0.998,20.729,3.2534,1.5,10,work,True
0,finetuned_social_welfare,5,4.0,7.816,0.98,20.83,3.2534,1.5,10,work,True
0,finetuned_social_welfare,6,4.0,7.768,1.061,20.781,3.2534,1.5,10,work,True
0,finetuned_social_welfare,7,4.0,8.312,1.115,21.326,3.2534,1.5,10,work,True
0,finetuned_social_welfare,8,4.0,7.524,0.838,20.538,3.2534,1.5,10,work,True
0,finetuned_social_welfare,9,4.0,6.973,0.811,19.987,3.2534,1.5,10,work,True
1,finetuned_social_welfare,0,3.0,9.523,0.854,23.308,4.5948,2.0,10,work,True
1,finetuned_social_welfare,1,3.0,11.073,1.139,24.857,4.5948,2.0,10,work,True
1,finetuned_social_welfare,2,3.0,11.276,1.106,25.06,4.5948,2.0,10,work,True
1,finetuned_social_welfare,3,3.0,9.525,0.902,23.309,4.5948,2.0,10,work,True
1,finetuned_social_welfare,4,3.0,10.176,0.998,23.961,4.5948,2.0,10,work,True
1,finetuned_social_welfare,5,3.0,10.332,0.98,24.116,4.5948,2.0,10,work,True
1,finetuned_social_welfare,6,3.0,10.292,1.061,24.076,4.5948,2.0,10,work,True
1,finetuned_social_welfare,7,3.0,11.051,1.115,24.836,4.5948,2.0,10,work,True
1,finetuned_social_welfare,8,3.0,9.689,0.838,23.473,4.5948,2.0,10,work,True
1,finetuned_social_welfare,9,3.0,9.122,0.811,22.906,4.5948,2.0,10,work,True
2,finetuned_social_welfare,0,4.209,9.523,0.854,40.983,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,1,4.995,11.073,1.139,48.407,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,2,4.896,11.276,1.106,47.87,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,3,4.467,9.525,0.902,42.915,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,4,4.639,10.176,0.998,44.849,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,5,4.44,10.332,0.98,43.519,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,6,5.114,10.292,1.061,48.513,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,7,5.11,11.051,1.115,49.245,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,8,4.39,9.689,0.838,42.503,7.4744,3.0,10,gather,True
2,finetuned_social_welfare,9,4.066,9.122,0.811,39.512,7.4744,3.0,10,gather,True
3,finetuned_social_welfare,0,3.209,11.927,0.854,23.646,3.6522,1.6517,10,work,True
3,finetuned_social_welfare,1,3.995,14.035,1.139,28.625,3.6522,1.6517,10,work,True
3,finetuned_social_welfare,2,3.896,13.785,1.106,28.013,3.6522,1.6517,10,work,True
3,finetuned_social_welfare,3,3.467,11.717,0.902,24.38,3.6522,1.6517,10,work,True
3,finetuned_social_welfare,4,3.639,12.773,0.998,26.063,3.6522,1.6517,10,work,True
3,finetuned_social_welfare,5,3.44,12.87,0.98,25.434,3.6522,1.6517,10,work,True
