timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_social_welfare,10,0,0,40.0,77.127,3.2534,0,0,10,0.0109,0.0109
1,finetuned_social_welfare,10,0,0,30.0,102.059,4.5948,0,0,10,0.0166,0.0166
2,finetuned_social_welfare,10,0,0,46.326,102.059,7.4744,0,10,0,0.0415,0.0415
3,finetuned_social_welfare,10,0,0,36.326,127.229,3.6522,0,0,10,0.047,0.047
4,finetuned_social_welfare,10,0,0,29.121,147.988,5.3746,0,1,9,0.0923,0.0923
5,finetuned_social_welfare,10,0,0,28.761,162.379,7.8886,0,4,6,0.1146,0.1146
6,finetuned_social_welfare,10,0,0,38.155,168.616,8.0706,1,7,3,0.1139,0.1139
7,finetuned_social_welfare,10,0,0,31.497,188.02,4.9584,1,1,9,0.141,0.141
8,finetuned_social_welfare,10,0,0,24.642,206.896,6.8542,2,1,9,0.2038,0.2038
9,finetuned_social_welfare,10,0,0,30.946,214.921,10.0,0,6,4,0.169,0.169
10,finetuned_social_welfare,9,1,1,44.809,205.17,7.029,0,9,0,0.1149,0.2034
11,finetuned_social_welfare,9,1,0,35.809,220.68,3.2743,0,0,9,0.1324,0.2191
12,finetuned_social_welfare,9,1,0,44.659,223.582,4.6341,0,7,2,0.1214,0.2093
13,finetuned_social_welfare,9,1,0,35.659,238.775,3.2908,0,0,9,0.1286,0.2158
14,finetuned_social_welfare,9,1,0,44.385,242.055,4.6654,0,7,2,0.0991,0.1892
15,finetuned_social_welfare,9,1,0,35.385,256.459,3.3214,0,0,9,0.1065,0.1959
16,finetuned_social_welfare,9,1,0,45.908,258.274,4.7236,1,8,1,0.1205,0.2085
17,finetuned_social_welfare,9,1,0,36.908,271.427,3.1576,1,0,9,0.1249,0.2125
18,finetuned_social_welfare,9,1,0,47.39,272.25,4.416,0,8,1,0.1004,0.1904
19,finetuned_social_welfare,9,1,0,38.39,284.864,3.0119,0,0,9,0.1076,0.1969
20,finetuned_social_welfare,9,1,0,42.08,291.456,4.1502,1,5,4,0.1141,0.2027
21,finetuned_social_welfare,9,1,0,33.08,302.666,3.6011,1,0,9,0.1178,0.206
22,finetuned_social_welfare,9,1,0,45.343,304.425,5.2714,1,8,1,0.1308,0.2177
23,finetuned_social_welfare,9,1,0,36.343,315.355,3.2166,1,0,9,0.1373,0.2236
24,finetuned_social_welfare,9,1,0,47.164,316.501,4.5258,0,8,1,0.1182,0.2064
25,finetuned_social_welfare,9,1,0,38.164,326.527,3.0333,0,0,9,0.1254,0.2129
26,finetuned_social_welfare,9,1,0,41.342,330.383,4.1887,0,5,4,0.1015,0.1913
27,finetuned_social_welfare,9,1,0,36.82,336.865,3.6999,0,2,7,0.0956,0.186
28,finetuned_social_welfare,9,1,0,51.223,336.865,4.4328,0,9,0,0.0875,0.1788
29,finetuned_social_welfare,9,1,0,42.223,346.284,2.6868,0,0,9,0.0999,0.1899
