timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_survival,0,6.321,5.0,0.854,25.564,3.2534,1.5,10,gather,True
0,finetuned_survival,1,6.836,5.0,1.139,27.241,3.2534,1.5,10,gather,True
0,finetuned_survival,2,6.918,5.0,1.106,27.507,3.2534,1.5,10,gather,True
0,finetuned_survival,3,6.022,5.0,0.902,24.593,3.2534,1.5,10,gather,True
0,finetuned_survival,4,6.488,5.0,0.998,26.108,3.2534,1.5,10,gather,True
0,finetuned_survival,5,6.581,5.0,0.98,26.41,3.2534,1.5,10,gather,True
0,finetuned_survival,6,6.536,5.0,1.061,26.265,3.2534,1.5,10,gather,True
0,finetuned_survival,7,7.035,5.0,1.115,27.889,3.2534,1.5,10,gather,True
0,finetuned_survival,8,6.313,5.0,0.838,25.539,3.2534,1.5,10,gather,True
0,finetuned_survival,9,5.808,5.0,0.811,23.896,3.2534,1.5,10,gather,True
1,finetuned_survival,0,7.113,5.0,0.854,20.84,2.227,1.0937,10,gather,True
1,finetuned_survival,1,8.475,5.0,1.139,23.873,2.227,1.0937,10,gather,True
1,finetuned_survival,2,8.651,5.0,1.106,24.265,2.227,1.0937,10,gather,True
1,finetuned_survival,3,7.128,5.0,0.902,20.873,2.227,1.0937,10,gather,True
1,finetuned_survival,4,7.692,5.0,0.998,22.131,2.227,1.0937,10,gather,True
1,finetuned_survival,5,7.828,5.0,0.98,22.432,2.227,1.0937,10,gather,True
1,finetuned_survival,6,7.793,5.0,1.061,22.356,2.227,1.0937,10,gather,True
1,finetuned_survival,7,8.447,5.0,1.115,23.812,2.227,1.0937,10,gather,True
1,finetuned_survival,8,7.262,5.0,0.838,21.173,2.227,1.0937,10,gather,True
1,finetuned_survival,9,6.772,5.0,0.811,20.081,2.227,1.0937,10,gather,True
2,finetuned_survival,0,6.113,7.201,0.854,17.879,1.7469,0.8934,10,work,True
2,finetuned_survival,1,7.475,7.984,1.139,21.042,1.7469,0.8934,10,work,True
2,finetuned_survival,2,7.651,7.885,1.106,21.251,1.7469,0.8934,10,work,True
2,finetuned_survival,3,6.128,7.458,0.902,18.163,1.7469,0.8934,10,work,True
2,finetuned_survival,4,6.692,7.629,0.998,19.32,1.7469,0.8934,10,work,True
2,finetuned_survival,5,6.828,7.431,0.98,19.359,1.7469,0.8934,10,work,True
2,finetuned_survival,6,6.793,8.102,1.061,19.97,1.7469,0.8934,10,work,True
2,finetuned_survival,7,7.447,8.099,1.115,21.109,1.7469,0.8934,10,work,True
2,finetuned_survival,8,6.262,7.382,0.838,18.321,1.7469,0.8934,10,work,True
2,finetuned_survival,9,5.772,7.058,0.811,17.141,1.7469,0.8934,10,work,True
3,finetuned_survival,0,7.385,7.201,0.854,22.856,2.1198,1.0497,10,gather,True
3,finetuned_survival,1,9.167,7.984,1.139,27.416,2.1198,1.0497,10,gather,True
3,finetuned_survival,2,8.918,7.885,1.106,26.79,2.1198,1.0497,10,gather,True
3,finetuned_survival,3,7.199,7.458,0.902,22.719,2.1198,1.0497,10,gather,True
3,finetuned_survival,4,8.108,7.629,0.998,24.816,2.1198,1.0497,10,gather,True
3,finetuned_survival,5,8.179,7.431,0.98,24.769,2.1198,1.0497,10,gather,True
3,finetuned_survival,6,8.439,8.102,1.061,25.992,2.1198,1.0497,10,gather,True
3,finetuned_survival,7,8.896,8.099,1.115,26.957,2.1198,1.0497,10,gather,True
3,finetuned_survival,8,7.402,7.382,0.838,23.073,2.1198,1.0497,10,gather,True
3,finetuned_survival,9,6.824,7.058,0.811,21.524,2.1198,1.0497,10,gather,True
4,finetuned_survival,0,8.204,7.201,0.854,20.719,1.6476,0.8509,10,gather,True
4,finetuned_survival,1,8.167,10.992,1.139,24.448,1.6476,0.8509,10,work,True
4,finetuned_survival,2,10.341,7.885,1.106,24.923,1.6476,0.8509,10,gather,True
4,finetuned_survival,3,8.39,7.458,0.902,21.282,1.6476,0.8509,10,gather,True
4,finetuned_survival,4,9.253,7.629,0.998,22.875,1.6476,0.8509,10,gather,True
4,finetuned_survival,5,9.312,7.431,0.98,22.775,1.6476,0.8509,10,gather,True
4,finetuned_survival,6,9.478,8.102,1.061,23.719,1.6476,0.8509,10,gather,True
4,finetuned_survival,7,10.08,8.099,1.115,24.707,1.6476,0.8509,10,gather,True
4,finetuned_survival,8,8.404,7.382,0.838,21.229,1.6476,0.8509,10,gather,True
4,finetuned_survival,9,7.652,7.058,0.811,19.665,1.6476,0.8509,10,gather,True
5,finetuned_survival,0,8.888,7.201,0.854,19.924,1.4315,0.7568,10,gather,True
5,finetuned_survival,1,9.625,10.992,1.139,24.77,1.4315,0.7568,10,gather,True
5,finetuned_survival,2,11.495,7.885,1.106,24.34,1.4315,0.7568,10,gather,True
5,finetuned_survival,3,9.37,7.458,0.902,20.872,1.4315,0.7568,10,gather,True
5,finetuned_survival,4,8.253,10.177,0.998,21.992,1.4315,0.7568,10,work,True
5,finetuned_survival,5,10.25,7.431,0.98,22.105,1.4315,0.7568,10,gather,True
5,finetuned_survival,6,10.584,8.102,1.061,23.254,1.4315,0.7568,10,gather,True
5,finetuned_survival,7,11.317,8.099,1.115,24.3,1.4315,0.7568,10,gather,True
5,finetuned_survival,8,9.182,7.382,0.838,20.525,1.4315,0.7568,10,gather,True
5,finetuned_survival,9,8.391,7.058,0.811,19.07,1.4315,0.7568,10,gather,True
6,finetuned_survival,0,9.637,7.201,0.854,19.481,1.2743,0.6869,10,gather,True
6,finetuned_survival,1,10.678,10.992,1.139,24.599,1.2743,0.6869,10,gather,True
6,finetuned_survival,2,12.26,7.885,1.106,23.508,1.2743,0.6869,10,gather,True
6,finetuned_survival,3,10.251,7.458,0.902,20.522,1.2743,0.6869,10,gather,True
6,finetuned_survival,4,9.585,10.177,0.998,22.391,1.2743,0.6869,10,gather,True
6,finetuned_survival,5,11.137,7.431,0.98,21.623,1.2743,0.6869,10,gather,True
6,finetuned_survival,6,11.507,8.102,1.061,22.766,1.2743,0.6869,10,gather,True
6,finetuned_survival,7,12.167,8.099,1.115,23.602,1.2743,0.6869,10,gather,True
6,finetuned_survival,8,9.873,7.382,0.838,19.962,1.2743,0.6869,10,gather,True
6,finetuned_survival,9,9.309,7.058,0.811,18.921,1.2743,0.6869,10,gather,True
7,finetuned_survival,0,10.419,7.201,0.854,18.997,1.1321,0.6224,10,gather,True
7,finetuned_survival,1,11.787,10.992,1.139,24.336,1.1321,0.6224,10,gather,True
7,finetuned_survival,2,13.201,7.885,1.106,22.831,1.1321,0.6224,10,gather,True
7,finetuned_survival,3,10.855,7.458,0.902,19.748,1.1321,0.6224,10,gather,True
7,finetuned_survival,4,10.556,10.177,0.998,22.129,1.1321,0.6224,10,gather,True
7,finetuned_survival,5,10.137,10.244,0.98,21.721,1.1321,0.6224,10,work,True
7,finetuned_survival,6,12.379,8.102,1.061,22.117,1.1321,0.6224,10,gather,True
7,finetuned_survival,7,13.005,8.099,1.115,22.822,1.1321,0.6224,10,gather,True
7,finetuned_survival,8,10.404,7.382,0.838,19.161,1.1321,0.6224,10,gather,True
7,finetuned_survival,9,9.953,7.058,0.811,18.327,1.1321,0.6224,10,gather,True
8,finetuned_survival,0,9.419,9.696,0.854,19.581,1.0494,0.5842,10,work,True
8,finetuned_survival,1,12.561,10.992,1.139,24.173,1.0494,0.5842,10,gather,True
8,finetuned_survival,2,13.986,7.885,1.106,22.563,1.0494,0.5842,10,gather,True
8,finetuned_survival,3,9.855,9.996,0.902,20.338,1.0494,0.5842,10,work,True
8,finetuned_survival,4,11.549,10.177,0.998,22.297,1.0494,0.5842,10,gather,True
8,finetuned_survival,5,11.094,10.244,0.98,21.886,1.0494,0.5842,10,gather,True
8,finetuned_survival,6,13.213,8.102,1.061,21.969,1.0494,0.5842,10,gather,True
8,finetuned_survival,7,13.75,8.099,1.115,22.528,1.0494,0.5842,10,gather,True
8,finetuned_survival,8,9.404,9.617,0.838,19.486,1.0494,0.5842,10,work,True
8,finetuned_survival,9,8.953,9.167,0.811,18.563,1.0494,0.5842,10,work,True
9,finetuned_survival,0,9.941,9.696,0.854,19.998,1.0362,0.5781,10,gather,True
9,finetuned_survival,1,13.517,10.992,1.139,24.998,1.0362,0.5781,10,gather,True
9,finetuned_survival,2,14.6,7.885,1.106,23.014,1.0362,0.5781,10,gather,True
9,finetuned_survival,3,10.486,9.996,0.902,20.862,1.0362,0.5781,10,gather,True
9,finetuned_survival,4,12.282,10.177,0.998,22.904,1.0362,0.5781,10,gather,True
9,finetuned_survival,5,11.841,10.244,0.98,22.514,1.0362,0.5781,10,gather,True
9,finetuned_survival,6,13.797,8.102,1.061,22.399,1.0362,0.5781,10,gather,True
9,finetuned_survival,7,14.345,8.099,1.115,22.963,1.0362,0.5781,10,gather,True
9,finetuned_survival,8,10.088,9.617,0.838,20.07,1.0362,0.5781,10,gather,True
9,finetuned_survival,9,9.664,9.167,0.811,19.18,1.0362,0.5781,10,gather,True
10,finetuned_survival,0,10.63,9.696,0.854,19.906,0.9605,0.5427,10,gather,True
10,finetuned_survival,1,14.211,10.992,1.139,24.641,0.9605,0.5427,10,gather,True
10,finetuned_survival,2,13.6,10.52,1.106,23.583,0.9605,0.5427,10,work,True
10,finetuned_survival,3,11.065,9.996,0.902,20.624,0.9605,0.5427,10,gather,True
10,finetuned_survival,4,12.819,10.177,0.998,22.49,0.9605,0.5427,10,gather,True
10,finetuned_survival,5,12.534,10.244,0.98,22.284,0.9605,0.5427,10,gather,True
10,finetuned_survival,6,12.797,11.042,1.061,23.333,0.9605,0.5427,10,work,True
10,finetuned_survival,7,13.345,11.148,1.115,23.966,0.9605,0.5427,10,work,True
10,finetuned_survival,8,10.8,9.617,0.838,19.991,0.9605,0.5427,10,gather,True
10,finetuned_survival,9,10.378,9.167,0.811,19.135,0.9605,0.5427,10,gather,True
11,finetuned_survival,0,11.114,9.696,0.854,20.187,0.9439,0.5349,10,gather,True
11,finetuned_survival,1,14.919,10.992,1.139,25.073,0.9439,0.5349,10,gather,True
11,finetuned_survival,2,14.297,10.52,1.106,24.015,0.9439,0.5349,10,gather,True
11,finetuned_survival,3,10.065,12.043,0.902,21.543,0.9439,0.5349,10,work,True
11,finetuned_survival,4,11.819,12.423,0.998,23.579,0.9439,0.5349,10,work,True
11,finetuned_survival,5,12.961,10.244,0.98,22.478,0.9439,0.5349,10,gather,True
11,finetuned_survival,6,13.558,11.042,1.061,23.839,0.9439,0.5349,10,gather,True
11,finetuned_survival,7,13.963,11.148,1.115,24.327,0.9439,0.5349,10,gather,True
11,finetuned_survival,8,11.186,9.617,0.838,20.175,0.9439,0.5349,10,gather,True
11,finetuned_survival,9,10.946,9.167,0.811,19.499,0.9439,0.5349,10,gather,True
12,finetuned_survival,0,10.114,11.765,0.854,21.049,0.9178,0.5225,10,work,True
12,finetuned_survival,1,15.319,10.992,1.139,25.052,0.9178,0.5225,10,gather,True
12,finetuned_survival,2,13.297,13.087,1.106,25.291,0.9178,0.5225,10,work,True
12,finetuned_survival,3,10.8,12.043,0.902,21.956,0.9178,0.5225,10,gather,True
12,finetuned_survival,4,12.404,12.423,0.998,23.808,0.9178,0.5225,10,gather,True
12,finetuned_survival,5,13.423,10.244,0.98,22.564,0.9178,0.5225,10,gather,True
