timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_survival,10,0,0,64.858,50.0,3.2534,0,10,0,0.0259,0.0259
1,finetuned_survival,10,0,0,77.16,50.0,2.227,0,10,0,0.035,0.035
2,finetuned_survival,10,0,0,67.16,76.231,1.7469,0,0,10,0.0408,0.0408
3,finetuned_survival,10,0,0,80.517,76.231,2.1198,0,10,0,0.045,0.045
4,finetuned_survival,10,0,0,89.281,79.238,1.6476,0,9,1,0.0436,0.0436
5,finetuned_survival,10,0,0,97.355,81.787,1.4315,0,9,1,0.049,0.049
6,finetuned_survival,10,0,0,106.403,81.787,1.2743,0,10,0,0.0484,0.0484
7,finetuned_survival,10,0,0,112.697,84.6,1.1321,0,9,1,0.0503,0.0503
8,finetuned_survival,10,0,0,113.786,93.977,1.0494,0,6,4,0.0435,0.0435
9,finetuned_survival,10,0,0,120.561,93.977,1.0362,0,10,0,0.043,0.043
10,finetuned_survival,10,0,0,122.179,102.601,0.9605,0,7,3,0.0474,0.0474
11,finetuned_survival,10,0,0,124.826,106.894,0.9439,0,8,2,0.0473,0.0473
12,finetuned_survival,10,0,0,122.608,118.298,0.9178,0,5,5,0.0448,0.0448
13,finetuned_survival,10,0,0,125.375,123.616,0.9396,0,8,2,0.0501,0.0501
14,finetuned_survival,10,0,0,130.779,123.616,0.9126,0,10,0,0.0493,0.0493
15,finetuned_survival,10,0,0,135.622,123.616,0.8638,0,10,0,0.049,0.049
16,finetuned_survival,10,0,0,140.233,123.616,0.824,0,10,0,0.0491,0.0491
17,finetuned_survival,10,0,0,143.411,125.89,0.7891,0,9,1,0.0472,0.0472
18,finetuned_survival,10,0,0,146.602,125.89,0.7666,0,10,0,0.0465,0.0465
19,finetuned_survival,10,0,0,149.65,125.89,0.7452,0,10,0,0.0472,0.0472
20,finetuned_survival,10,0,0,152.848,125.89,0.7257,0,10,0,0.0468,0.0468
21,finetuned_survival,10,0,0,155.09,125.89,0.7063,0,10,0,0.0465,0.0465
22,finetuned_survival,10,0,0,157.272,125.89,0.6932,0,10,0,0.0452,0.0452
23,finetuned_survival,10,0,0,157.875,128.109,0.6809,0,9,1,0.0434,0.0434
24,finetuned_survival,10,0,0,159.788,128.109,0.6775,0,10,0,0.0428,0.0428
25,finetuned_survival,10,0,0,161.114,128.109,0.6672,0,10,0,0.0422,0.0422
26,finetuned_survival,10,0,0,160.29,132.545,0.6602,0,8,2,0.04,0.04
27,finetuned_survival,10,0,0,161.751,132.545,0.6645,0,10,0,0.0389,0.0389
28,finetuned_survival,10,0,0,161.075,136.453,0.6568,0,8,2,0.0299,0.0299
29,finetuned_survival,10,0,0,161.214,138.917,0.6604,0,9,1,0.0351,0.0351
