timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_wealth_maximizing,10,0,0,40.0,77.127,3.2534,0,0,10,0.0109,0.0109
1,finetuned_wealth_maximizing,10,0,0,30.0,102.059,4.5948,0,0,10,0.0166,0.0166
2,finetuned_wealth_maximizing,10,0,0,20.0,125.768,7.4744,0,0,10,0.0198,0.0198
3,finetuned_wealth_maximizing,10,0,0,10.0,149.724,10.0,0,0,10,0.0262,0.0262
4,finetuned_wealth_maximizing,0,10,10,0,0,10.0,0,0,0,0.0,-0.0
5,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
6,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
7,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
8,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
9,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
10,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
11,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
12,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
13,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
14,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
15,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
16,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
17,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
18,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
19,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
20,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
21,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
22,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
23,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
24,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
25,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
26,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
27,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
28,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
29,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
