timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,llm_survival,0,6.321,5.0,0.854,25.564,3.2534,1.5,10,gather,True
0,llm_survival,1,4.0,8.095,1.139,21.109,3.2534,1.5,10,work,True
0,llm_survival,2,6.918,5.0,1.106,27.507,3.2534,1.5,10,gather,True
0,llm_survival,3,4.0,7.207,0.902,20.22,3.2534,1.5,10,work,True
0,llm_survival,4,4.0,7.715,0.998,20.729,3.2534,1.5,10,work,True
0,llm_survival,5,6.581,5.0,0.98,26.41,3.2534,1.5,10,gather,True
0,llm_survival,6,6.536,5.0,1.061,26.265,3.2534,1.5,10,gather,True
0,llm_survival,7,7.035,5.0,1.115,27.889,3.2534,1.5,10,gather,True
0,llm_survival,8,6.313,5.0,0.838,25.539,3.2534,1.5,10,gather,True
0,llm_survival,9,5.808,5.0,0.811,23.896,3.2534,1.5,10,gather,True
1,llm_survival,0,5.321,7.087,0.854,21.167,2.6464,1.2628,10,work,True
1,llm_survival,1,3.0,11.073,1.139,19.012,2.6464,1.2628,10,work,True
1,llm_survival,2,5.918,8.282,1.106,23.943,2.6464,1.2628,10,work,True
1,llm_survival,3,3.0,9.525,0.902,17.464,2.6464,1.2628,10,work,True
1,llm_survival,4,3.0,10.176,0.998,18.115,2.6464,1.2628,10,work,True
1,llm_survival,5,5.581,7.652,0.98,22.42,2.6464,1.2628,10,work,True
1,llm_survival,6,5.536,7.658,1.061,22.308,2.6464,1.2628,10,work,True
1,llm_survival,7,6.035,7.915,1.115,23.886,2.6464,1.2628,10,work,True
1,llm_survival,8,5.313,7.269,0.838,21.329,2.6464,1.2628,10,work,True
1,llm_survival,9,4.808,7.229,0.811,19.953,2.6464,1.2628,10,work,True
2,llm_survival,0,4.321,9.204,0.854,24.387,3.514,1.5995,10,work,True
2,llm_survival,1,2.0,13.727,1.139,20.755,3.514,1.5995,10,work,True
2,llm_survival,2,4.918,10.995,1.106,28.277,3.514,1.5995,10,work,True
2,llm_survival,3,2.0,11.781,0.902,18.809,3.514,1.5995,10,work,True
2,llm_survival,4,2.0,12.558,0.998,19.586,3.514,1.5995,10,work,True
2,llm_survival,5,4.581,9.966,0.98,26.063,3.514,1.5995,10,work,True
2,llm_survival,6,4.536,10.61,1.061,26.55,3.514,1.5995,10,work,True
2,llm_survival,7,5.035,10.849,1.115,28.544,3.514,1.5995,10,work,True
2,llm_survival,8,4.313,9.552,0.838,24.708,3.514,1.5995,10,work,True
2,llm_survival,9,3.808,9.204,0.811,22.585,3.514,1.5995,10,work,True
3,llm_survival,0,3.321,11.623,0.854,28.551,5.0978,2.1809,10,work,True
3,llm_survival,1,1.0,16.529,1.139,21.627,5.0978,2.1809,10,work,True
3,llm_survival,2,6.523,10.995,1.106,44.248,5.0978,2.1809,10,gather,True
3,llm_survival,3,1.0,13.875,0.902,18.973,5.0978,2.1809,10,work,True
3,llm_survival,4,1.0,15.031,0.998,20.129,5.0978,2.1809,10,work,True
3,llm_survival,5,6.208,9.966,0.98,41.611,5.0978,2.1809,10,gather,True
3,llm_survival,6,6.493,10.61,1.061,43.709,5.0978,2.1809,10,gather,True
3,llm_survival,7,6.803,10.849,1.115,45.527,5.0978,2.1809,10,gather,True
3,llm_survival,8,3.313,11.831,0.838,28.72,5.0978,2.1809,10,work,True
3,llm_survival,9,5.059,9.204,0.811,34.996,5.0978,2.1809,10,gather,True
4,llm_survival,0,4.833,11.623,0.854,33.205,4.4661,1.9532,10,gather,True
4,llm_survival,1,1.0,14.795,1.139,19.261,4.4661,1.9532,10,work,True
4,llm_survival,2,5.523,13.747,1.106,38.413,4.4661,1.9532,10,work,True
4,llm_survival,3,1.0,11.455,0.902,15.921,4.4661,1.9532,10,work,True
4,llm_survival,4,3.727,10.565,0.998,27.208,4.4661,1.9532,10,gather,True
4,llm_survival,5,5.208,12.566,0.98,35.823,4.4661,1.9532,10,work,True
4,llm_survival,6,6.186,19.542,1.061,47.169,4.4661,1.9532,10,gather,True
4,llm_survival,7,8.222,10.849,1.115,47.567,4.4661,1.9532,10,gather,True
4,llm_survival,8,4.62,11.831,0.838,32.463,4.4661,1.9532,10,gather,True
4,llm_survival,9,5.302,13.67,0.811,37.351,4.4661,1.9532,10,gather,True
5,llm_survival,0,3.833,13.658,0.854,27.989,3.7393,1.6845,10,work,True
5,llm_survival,1,1.0,13.848,1.139,17.587,3.7393,1.6845,10,work,True
5,llm_survival,2,3.523,19.955,1.106,33.128,3.7393,1.6845,10,work,True
5,llm_survival,3,3.61,7.716,0.902,21.215,3.7393,1.6845,10,gather,True
5,llm_survival,4,2.727,12.979,0.998,23.175,3.7393,1.6845,10,work,True
5,llm_survival,5,4.208,14.885,0.98,30.618,3.7393,1.6845,10,work,True
5,llm_survival,6,4.186,25.056,1.061,40.708,3.7393,1.6845,10,work,True
5,llm_survival,7,7.222,13.366,1.115,40.37,3.7393,1.6845,10,work,True
5,llm_survival,8,3.62,13.947,0.838,27.481,3.7393,1.6845,10,work,True
5,llm_survival,9,4.302,15.773,0.811,31.861,3.7393,1.6845,10,work,True
6,llm_survival,0,2.833,15.705,0.854,29.706,4.9428,2.1254,10,work,True
6,llm_survival,1,1.0,11.645,1.139,16.588,4.9428,2.1254,10,work,True
6,llm_survival,2,5.358,19.955,1.106,46.436,4.9428,2.1254,10,gather,True
6,llm_survival,3,4.771,7.716,0.902,31.3,4.9428,2.1254,10,gather,True
6,llm_survival,4,4.346,12.979,0.998,34.463,4.9428,2.1254,10,gather,True
6,llm_survival,5,3.208,17.284,0.98,33.139,4.9428,2.1254,10,work,True
6,llm_survival,6,5.988,25.056,1.061,54.652,4.9428,2.1254,10,gather,True
6,llm_survival,7,5.222,20.594,1.115,46.404,4.9428,2.1254,10,work,True
6,llm_survival,8,4.785,13.947,0.838,37.598,4.9428,2.1254,10,gather,True
6,llm_survival,9,5.596,15.773,0.811,43.432,4.9428,2.1254,10,gather,True
7,llm_survival,0,1.833,17.578,0.854,25.059,4.0825,1.8124,10,work,True
7,llm_survival,1,1.0,10.428,1.139,14.511,4.0825,1.8124,10,work,True
7,llm_survival,2,4.358,22.188,1.106,39.977,4.0825,1.8124,10,work,True
7,llm_survival,3,3.771,10.313,0.902,25.71,4.0825,1.8124,10,work,True
7,llm_survival,4,5.683,12.979,0.998,36.181,4.0825,1.8124,10,gather,True
7,llm_survival,5,5.043,17.284,0.98,37.871,4.0825,1.8124,10,gather,True
7,llm_survival,6,4.988,27.021,1.061,47.383,4.0825,1.8124,10,work,True
7,llm_survival,7,6.339,24.677,1.115,50.554,4.0825,1.8124,10,gather,True
7,llm_survival,8,3.785,15.986,0.838,31.439,4.0825,1.8124,10,work,True
7,llm_survival,9,4.596,17.704,0.811,36.467,4.0825,1.8124,10,work,True
8,llm_survival,0,3.469,17.578,0.854,32.673,4.3509,1.9111,10,gather,True
8,llm_survival,1,1.0,8.989,1.139,13.34,4.3509,1.9111,10,work,True
8,llm_survival,2,6.462,22.188,1.106,50.305,4.3509,1.9111,10,gather,True
8,llm_survival,3,2.771,12.545,0.902,24.603,4.3509,1.9111,10,work,True
8,llm_survival,4,4.683,15.263,0.998,35.639,4.3509,1.9111,10,work,True
8,llm_survival,5,4.043,19.4,0.98,36.99,4.3509,1.9111,10,work,True
8,llm_survival,6,6.884,27.021,1.061,56.975,4.3509,1.9111,10,gather,True
8,llm_survival,7,7.061,29.028,1.115,59.752,4.3509,1.9111,10,gather,True
8,llm_survival,8,2.785,17.967,0.838,30.085,4.3509,1.9111,10,work,True
8,llm_survival,9,5.636,17.704,0.811,42.225,4.3509,1.9111,10,gather,True
9,llm_survival,0,4.798,17.578,0.854,36.031,3.8457,1.7243,10,gather,True
9,llm_survival,1,1.0,8.335,1.139,12.181,3.8457,1.7243,10,work,True
9,llm_survival,2,4.462,27.949,1.106,45.11,3.8457,1.7243,10,work,True
9,llm_survival,3,4.262,12.545,0.902,28.937,3.8457,1.7243,10,gather,True
9,llm_survival,4,3.683,17.284,0.998,31.449,3.8457,1.7243,10,work,True
9,llm_survival,5,3.043,21.279,0.98,32.981,3.8457,1.7243,10,work,True
9,llm_survival,6,5.884,28.664,1.061,51.294,3.8457,1.7243,10,work,True
9,llm_survival,7,6.061,30.781,1.115,54.092,3.8457,1.7243,10,work,True
