timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,random,0,4.0,7.087,0.854,20.1,3.2534,1.5,10,work,True
0,random,1,4.0,8.155,1.139,21.169,3.2534,1.5,10,work,True
0,random,2,7.007,5.0,1.106,27.797,3.2534,1.5,10,gather,True
0,random,3,4.0,7.415,0.902,20.429,3.2534,1.5,10,work,True
0,random,4,4.0,7.589,0.998,20.603,3.2534,1.5,10,work,True
0,random,5,6.43,5.0,0.98,25.919,3.2534,1.5,10,gather,True
0,random,6,6.435,5.0,1.061,25.937,3.2534,1.5,10,gather,True
0,random,7,4.0,7.915,1.115,20.928,3.2534,1.5,10,work,True
0,random,8,6.079,5.0,0.838,24.779,3.2534,1.5,10,gather,True
0,random,9,6.042,5.0,0.811,24.659,3.2534,1.5,10,gather,True
1,random,0,5.322,7.087,0.854,23.42,3.0689,1.4288,10,gather,True
1,random,1,3.0,11.223,1.139,20.43,3.0689,1.4288,10,work,True
1,random,2,8.434,5.0,1.106,30.883,3.0689,1.4288,10,gather,True
1,random,3,5.51,7.415,0.902,24.324,3.0689,1.4288,10,gather,True
1,random,4,3.0,10.412,0.998,19.619,3.0689,1.4288,10,work,True
1,random,5,5.43,7.955,0.98,24.618,3.0689,1.4288,10,work,True
1,random,6,7.926,5.0,1.061,29.324,3.0689,1.4288,10,gather,True
1,random,7,3.0,11.063,1.115,20.27,3.0689,1.4288,10,work,True
1,random,8,7.085,5.0,0.838,26.744,3.0689,1.4288,10,gather,True
1,random,9,7.182,5.0,0.811,27.041,3.0689,1.4288,10,gather,True
2,random,0,6.522,7.087,0.854,25.082,2.7591,1.3075,10,gather,True
2,random,1,2.0,13.936,1.139,19.455,2.7591,1.3075,10,work,True
2,random,2,7.434,8.251,1.106,28.762,2.7591,1.3075,10,work,True
2,random,3,4.51,9.932,0.902,22.375,2.7591,1.3075,10,work,True
2,random,4,2.0,13.005,0.998,18.523,2.7591,1.3075,10,work,True
2,random,5,6.644,7.955,0.98,26.287,2.7591,1.3075,10,gather,True
2,random,6,6.926,8.007,1.061,27.116,2.7591,1.3075,10,work,True
2,random,7,4.862,11.063,1.115,24.478,2.7591,1.3075,10,gather,True
2,random,8,6.085,7.118,0.838,23.908,2.7591,1.3075,10,work,True
2,random,9,6.182,7.418,0.811,24.475,2.7591,1.3075,10,work,True
3,random,0,5.522,9.601,0.854,25.998,2.9692,1.39,10,work,True
3,random,1,1.0,16.684,1.139,19.653,2.9692,1.39,10,work,True
3,random,2,8.915,8.251,1.106,34.72,2.9692,1.39,10,gather,True
3,random,3,3.51,12.37,0.902,22.792,2.9692,1.39,10,work,True
3,random,4,3.72,13.005,0.998,24.052,2.9692,1.39,10,gather,True
3,random,5,5.644,10.512,0.98,27.271,2.9692,1.39,10,work,True
3,random,6,5.926,10.999,1.061,28.595,2.9692,1.39,10,work,True
3,random,7,6.731,11.063,1.115,31.05,2.9692,1.39,10,gather,True
3,random,8,7.067,7.118,0.838,28.102,2.9692,1.39,10,gather,True
3,random,9,7.002,7.418,0.811,28.208,2.9692,1.39,10,gather,True
4,random,0,6.613,9.601,0.854,28.261,2.8218,1.3322,10,gather,True
4,random,1,1.0,16.424,1.139,19.246,2.8218,1.3322,10,work,True
4,random,2,10.118,8.251,1.106,36.802,2.8218,1.3322,10,gather,True
4,random,3,4.965,12.37,0.902,26.38,2.8218,1.3322,10,gather,True
4,random,4,2.72,15.409,0.998,23.085,2.8218,1.3322,10,work,True
4,random,5,7.093,10.512,0.98,30.525,2.8218,1.3322,10,gather,True
4,random,6,4.926,13.577,1.061,27.477,2.8218,1.3322,10,work,True
4,random,7,4.731,16.239,1.115,29.59,2.8218,1.3322,10,work,True
4,random,8,7.847,7.118,0.838,29.261,2.8218,1.3322,10,gather,True
4,random,9,6.002,9.382,0.811,26.317,2.8218,1.3322,10,work,True
5,random,0,7.483,9.601,0.854,30.178,2.75,1.3039,10,gather,True
5,random,1,4.055,13.674,1.139,24.826,2.75,1.3039,10,gather,True
5,random,2,9.118,11.176,1.106,36.25,2.75,1.3039,10,work,True
5,random,3,6.163,12.37,0.902,29.319,2.75,1.3039,10,gather,True
5,random,4,4.268,15.409,0.998,27.147,2.75,1.3039,10,gather,True
5,random,5,8.161,10.512,0.98,32.955,2.75,1.3039,10,gather,True
5,random,6,6.622,13.577,1.061,31.788,2.75,1.3039,10,gather,True
5,random,7,3.731,18.535,1.115,28.796,2.75,1.3039,10,work,True
5,random,8,8.573,7.118,0.838,30.693,2.75,1.3039,10,gather,True
5,random,9,4.002,14.175,0.811,25.18,2.75,1.3039,10,work,True
6,random,0,6.483,11.901,0.854,27.233,2.3651,1.1499,10,work,True
6,random,1,3.055,16.2,1.139,23.426,2.3651,1.1499,10,work,True
6,random,2,8.118,13.754,1.106,32.954,2.3651,1.1499,10,work,True
6,random,3,5.163,14.628,0.902,26.84,2.3651,1.1499,10,work,True
6,random,4,6.12,15.409,0.998,29.883,2.3651,1.1499,10,gather,True
6,random,5,9.458,10.512,0.98,32.88,2.3651,1.1499,10,gather,True
6,random,6,5.622,16.008,1.061,29.304,2.3651,1.1499,10,work,True
6,random,7,2.731,21.044,1.115,27.504,2.3651,1.1499,10,work,True
6,random,8,7.573,9.188,0.838,27.097,2.3651,1.1499,10,work,True
6,random,9,3.002,15.987,0.811,23.086,2.3651,1.1499,10,work,True
7,random,0,7.557,11.901,0.854,31.995,2.6589,1.2678,10,gather,True
7,random,1,5.151,16.2,1.139,29.896,2.6589,1.2678,10,gather,True
7,random,2,7.118,16.42,1.106,35.347,2.6589,1.2678,10,work,True
7,random,3,4.163,16.505,0.902,27.575,2.6589,1.2678,10,work,True
7,random,4,7.364,15.409,0.998,34.989,2.6589,1.2678,10,gather,True
7,random,5,8.458,12.712,0.98,35.201,2.6589,1.2678,10,work,True
7,random,6,7.006,16.008,1.061,34.635,2.6589,1.2678,10,gather,True
7,random,7,4.609,21.044,1.115,33.301,2.6589,1.2678,10,gather,True
7,random,8,6.573,11.527,0.838,29.004,2.6589,1.2678,10,work,True
7,random,9,2.002,17.683,0.811,23.006,2.6589,1.2678,10,work,True
8,random,0,8.392,11.901,0.854,32.791,2.4891,1.2,10,gather,True
8,random,1,4.151,18.627,1.139,28.959,2.4891,1.2,10,work,True
8,random,2,6.118,18.701,1.106,33.929,2.4891,1.2,10,work,True
8,random,3,5.618,16.505,0.902,30.489,2.4891,1.2,10,gather,True
8,random,4,8.566,15.409,0.998,36.731,2.4891,1.2,10,gather,True
8,random,5,9.392,12.712,0.98,36.089,2.4891,1.2,10,gather,True
8,random,6,8.243,16.008,1.061,36.525,2.4891,1.2,10,gather,True
8,random,7,3.609,23.282,1.115,32.266,2.4891,1.2,10,work,True
8,random,8,7.43,11.527,0.838,30.022,2.4891,1.2,10,gather,True
8,random,9,3.338,17.683,0.811,25.992,2.4891,1.2,10,gather,True
9,random,0,7.392,13.816,0.854,30.28,2.227,1.0937,10,work,True
9,random,1,3.151,21.056,1.139,28.072,2.227,1.0937,10,work,True
9,random,2,5.118,21.123,1.106,32.521,2.227,1.0937,10,work,True
9,random,3,7.036,16.505,0.902,32.174,2.227,1.0937,10,gather,True
9,random,4,9.589,15.409,0.998,36.764,2.227,1.0937,10,gather,True
9,random,5,10.497,12.712,0.98,36.089,2.227,1.0937,10,gather,True
9,random,6,7.243,18.423,1.061,34.553,2.227,1.0937,10,work,True
9,random,7,5.598,23.282,1.115,35.749,2.227,1.0937,10,gather,True
9,random,8,6.43,13.793,0.838,28.113,2.227,1.0937,10,work,True
9,random,9,2.338,19.288,0.811,24.495,2.227,1.0937,10,work,True
10,random,0,8.227,13.816,0.854,32.326,2.2499,1.1031,10,gather,True
10,random,1,5.062,21.056,1.139,32.445,2.2499,1.1031,10,gather,True
10,random,2,6.756,21.123,1.106,36.323,2.2499,1.1031,10,gather,True
10,random,3,8.291,16.505,0.902,35.158,2.2499,1.1031,10,gather,True
10,random,4,10.665,15.409,0.998,39.404,2.2499,1.1031,10,gather,True
10,random,5,11.4,12.712,0.98,38.36,2.2499,1.1031,10,gather,True
