timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,random,10,0,0,51.994,63.161,3.2534,0,5,5,0.0643,0.0643
1,random,10,0,0,55.889,75.155,3.0689,0,6,4,0.0844,0.0844
2,random,10,0,0,53.166,93.772,2.7591,0,3,7,0.0702,0.0702
3,random,10,0,0,55.038,107.021,2.9692,0,5,5,0.0827,0.0827
4,random,10,0,0,56.015,118.882,2.8218,1,5,5,0.0852,0.0852
5,random,10,0,0,62.176,126.146,2.75,1,7,3,0.0629,0.0629
6,random,10,0,0,57.325,144.63,2.3651,0,2,8,0.0632,0.0632
7,random,10,0,0,60.0,155.41,2.6589,0,5,5,0.0666,0.0666
8,random,10,0,0,64.858,162.355,2.4891,0,7,3,0.0589,0.0589
9,random,10,0,0,64.392,175.406,2.227,0,4,6,0.0683,0.0683
10,random,10,0,0,68.009,183.322,2.2499,0,6,4,0.072,0.072
11,random,10,0,0,71.604,191.351,2.0827,0,6,4,0.061,0.061
12,random,10,0,0,78.719,195.104,1.9377,0,8,2,0.0573,0.0573
13,random,10,0,0,80.008,205.224,1.6995,0,5,5,0.0563,0.0563
14,random,10,0,0,80.357,214.841,1.662,0,5,5,0.0629,0.0629
15,random,10,0,0,84.621,219.454,1.6521,0,7,3,0.0708,0.0708
16,random,10,0,0,86.803,226.504,1.5395,0,6,4,0.0699,0.0699
17,random,10,0,0,87.933,233.358,1.4872,1,6,4,0.0679,0.0679
18,random,10,0,0,86.25,241.75,1.4613,1,5,5,0.0681,0.0681
19,random,10,0,0,86.184,252.882,1.5001,1,4,6,0.0754,0.0754
20,random,10,0,0,84.494,262.685,1.5017,1,4,6,0.0812,0.0812
21,random,10,0,0,83.386,272.963,1.5426,0,4,6,0.0773,0.0773
22,random,10,0,0,88.449,278.021,1.5706,0,7,3,0.0783,0.0783
23,random,10,0,0,92.585,282.825,1.4498,0,7,3,0.0777,0.0777
24,random,10,0,0,88.996,293.69,1.3631,0,3,7,0.0728,0.0728
25,random,10,0,0,85.688,304.228,1.4378,0,3,7,0.0759,0.0759
26,random,10,0,0,85.645,311.301,1.5135,0,5,5,0.0793,0.0793
27,random,10,0,0,90.328,315.995,1.5145,0,7,3,0.0749,0.0749
28,random,10,0,0,86.686,325.923,1.4092,0,3,7,0.0798,0.0798
29,random,10,0,0,86.304,332.156,1.4899,0,5,5,0.0789,0.0789
