timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,rule,0,6.321,5.0,0.854,25.564,3.2534,1.5,10,gather,True
0,rule,1,6.836,5.0,1.139,27.241,3.2534,1.5,10,gather,True
0,rule,2,6.918,5.0,1.106,27.507,3.2534,1.5,10,gather,True
0,rule,3,6.022,5.0,0.902,24.593,3.2534,1.5,10,gather,True
0,rule,4,6.488,5.0,0.998,26.108,3.2534,1.5,10,gather,True
0,rule,5,6.581,5.0,0.98,26.41,3.2534,1.5,10,gather,True
0,rule,6,6.536,5.0,1.061,26.265,3.2534,1.5,10,gather,True
0,rule,7,7.035,5.0,1.115,27.889,3.2534,1.5,10,gather,True
0,rule,8,6.313,5.0,0.838,25.539,3.2534,1.5,10,gather,True
0,rule,9,5.808,5.0,0.811,23.896,3.2534,1.5,10,gather,True
1,rule,0,7.264,5.0,0.854,21.177,2.227,1.0937,10,gather,True
1,rule,1,8.537,5.0,1.139,24.012,2.227,1.0937,10,gather,True
1,rule,2,5.918,8.184,1.106,21.363,2.227,1.0937,10,work,True
1,rule,3,7.401,5.0,0.902,21.483,2.227,1.0937,10,gather,True
1,rule,4,5.488,7.98,0.998,20.201,2.227,1.0937,10,work,True
1,rule,5,7.825,5.0,0.98,22.426,2.227,1.0937,10,gather,True
1,rule,6,8.208,5.0,1.061,23.279,2.227,1.0937,10,gather,True
1,rule,7,6.035,8.3,1.115,21.741,2.227,1.0937,10,work,True
1,rule,8,5.313,7.083,0.838,18.915,2.227,1.0937,10,work,True
1,rule,9,6.837,5.0,0.811,20.225,2.227,1.0937,10,gather,True
2,rule,0,6.264,7.337,0.854,20.165,2.048,1.02,10,work,True
2,rule,1,10.026,5.0,1.139,25.533,2.048,1.02,10,gather,True
2,rule,2,4.918,10.998,1.106,21.07,2.048,1.02,10,work,True
2,rule,3,6.401,7.571,0.902,20.681,2.048,1.02,10,work,True
2,rule,4,6.879,7.98,0.998,22.069,2.048,1.02,10,gather,True
2,rule,5,6.825,7.905,0.98,21.882,2.048,1.02,10,work,True
2,rule,6,7.208,8.068,1.061,22.83,2.048,1.02,10,work,True
2,rule,7,5.035,11.307,1.115,21.619,2.048,1.02,10,work,True
2,rule,8,4.313,9.08,0.838,17.913,2.048,1.02,10,work,True
2,rule,9,7.778,5.0,0.811,20.929,2.048,1.02,10,gather,True
3,rule,0,7.382,7.337,0.854,23.498,2.1892,1.0782,10,gather,True
3,rule,1,9.026,8.398,1.139,28.157,2.1892,1.0782,10,work,True
3,rule,2,6.762,10.998,1.106,25.801,2.1892,1.0782,10,gather,True
3,rule,3,5.401,9.88,0.902,21.705,2.1892,1.0782,10,work,True
3,rule,4,5.879,10.404,0.998,23.275,2.1892,1.0782,10,work,True
3,rule,5,5.825,10.458,0.98,23.21,2.1892,1.0782,10,work,True
3,rule,6,8.817,8.068,1.061,27.37,2.1892,1.0782,10,gather,True
3,rule,7,4.035,14.154,1.115,22.988,2.1892,1.0782,10,work,True
3,rule,8,5.513,9.08,0.838,21.15,2.1892,1.0782,10,gather,True
3,rule,9,6.778,7.429,0.811,22.267,2.1892,1.0782,10,work,True
4,rule,0,8.298,7.337,0.854,25.592,2.2,1.0827,10,gather,True
4,rule,1,8.026,11.368,1.139,29.025,2.2,1.0827,10,work,True
4,rule,2,5.762,13.671,1.106,26.347,2.2,1.0827,10,work,True
4,rule,3,4.401,11.918,0.902,21.601,2.2,1.0827,10,work,True
4,rule,4,4.879,13.063,0.998,23.798,2.2,1.0827,10,work,True
4,rule,5,4.825,12.92,0.98,23.535,2.2,1.0827,10,work,True
4,rule,6,7.817,10.667,1.061,27.864,2.2,1.0827,10,work,True
4,rule,7,5.978,14.154,1.115,27.306,2.2,1.0827,10,gather,True
4,rule,8,4.513,11.205,0.838,21.134,2.2,1.0827,10,work,True
4,rule,9,7.583,7.429,0.811,24.112,2.2,1.0827,10,gather,True
5,rule,0,7.298,9.339,0.854,26.636,2.3702,1.152,10,work,True
5,rule,1,9.674,11.368,1.139,34.297,2.3702,1.152,10,gather,True
5,rule,2,4.762,16.033,1.106,27.319,2.3702,1.152,10,work,True
5,rule,3,3.401,14.264,0.902,22.326,2.3702,1.152,10,work,True
5,rule,4,6.385,13.063,0.998,28.198,2.3702,1.152,10,gather,True
5,rule,5,6.444,12.92,0.98,28.193,2.3702,1.152,10,gather,True
5,rule,6,9.036,10.667,1.061,32.083,2.3702,1.152,10,gather,True
5,rule,7,7.547,14.154,1.115,32.042,2.3702,1.152,10,gather,True
5,rule,8,5.826,11.205,0.838,25.014,2.3702,1.152,10,gather,True
5,rule,9,6.583,9.396,0.811,24.999,2.3702,1.152,10,work,True
6,rule,0,6.298,11.5,0.854,24.907,2.1289,1.0534,10,work,True
6,rule,1,10.754,11.368,1.139,34.263,2.1289,1.0534,10,gather,True
6,rule,2,6.484,16.033,1.106,29.836,2.1289,1.0534,10,gather,True
6,rule,3,4.763,14.264,0.902,24.403,2.1289,1.0534,10,gather,True
6,rule,4,5.385,15.545,0.998,27.01,2.1289,1.0534,10,work,True
6,rule,5,7.63,12.92,0.98,29.163,2.1289,1.0534,10,gather,True
6,rule,6,8.036,13.161,1.061,30.269,2.1289,1.0534,10,work,True
6,rule,7,6.547,16.817,1.115,30.755,2.1289,1.0534,10,work,True
6,rule,8,4.826,13.481,0.838,23.755,2.1289,1.0534,10,work,True
6,rule,9,5.583,11.685,0.811,23.571,2.1289,1.0534,10,work,True
7,rule,0,5.298,13.592,0.854,25.027,2.1585,1.0656,10,work,True
7,rule,1,11.736,11.368,1.139,36.7,2.1585,1.0656,10,gather,True
7,rule,2,8.295,16.033,1.106,33.938,2.1585,1.0656,10,gather,True
7,rule,3,6.213,14.264,0.902,27.675,2.1585,1.0656,10,gather,True
7,rule,4,4.385,17.771,0.998,27.237,2.1585,1.0656,10,work,True
7,rule,5,8.668,12.92,0.98,31.629,2.1585,1.0656,10,gather,True
7,rule,6,9.386,13.161,1.061,33.421,2.1585,1.0656,10,gather,True
7,rule,7,8.102,16.817,1.115,34.305,2.1585,1.0656,10,gather,True
7,rule,8,3.826,15.464,0.838,23.723,2.1585,1.0656,10,work,True
7,rule,9,4.583,13.558,0.811,23.451,2.1585,1.0656,10,work,True
8,rule,0,4.298,15.766,0.854,24.278,1.9805,0.9919,10,work,True
8,rule,1,12.616,11.368,1.139,36.354,1.9805,0.9919,10,gather,True
8,rule,2,7.295,18.313,1.106,32.761,1.9805,0.9919,10,work,True
8,rule,3,7.386,14.264,0.902,28.891,1.9805,0.9919,10,gather,True
8,rule,4,5.783,17.771,0.998,29.223,1.9805,0.9919,10,gather,True
8,rule,5,9.731,12.92,0.98,32.191,1.9805,0.9919,10,gather,True
8,rule,6,8.386,15.809,1.061,32.418,1.9805,0.9919,10,work,True
8,rule,7,9.537,16.817,1.115,35.704,1.9805,0.9919,10,gather,True
8,rule,8,4.904,15.464,0.838,25.177,1.9805,0.9919,10,gather,True
8,rule,9,3.583,15.628,0.811,22.725,1.9805,0.9919,10,work,True
9,rule,0,3.298,17.651,0.854,23.811,1.8678,0.9446,10,work,True
9,rule,1,13.586,11.368,1.139,36.744,1.8678,0.9446,10,gather,True
9,rule,2,8.727,18.313,1.106,34.614,1.8678,0.9446,10,gather,True
9,rule,3,6.386,16.328,0.902,28.256,1.8678,0.9446,10,work,True
9,rule,4,6.97,17.771,0.998,30.789,1.8678,0.9446,10,gather,True
9,rule,5,8.731,15.279,0.98,31.586,1.8678,0.9446,10,work,True
9,rule,6,9.587,15.809,1.061,33.715,1.8678,0.9446,10,gather,True
9,rule,7,10.654,16.817,1.115,36.716,1.8678,0.9446,10,gather,True
9,rule,8,3.904,17.177,0.838,24.469,1.8678,0.9446,10,work,True
9,rule,9,4.958,15.628,0.811,24.889,1.8678,0.9446,10,gather,True
10,rule,0,4.387,17.651,0.854,25.364,1.7582,0.8982,10,gather,True
10,rule,1,12.586,13.914,1.139,36.043,1.7582,0.8982,10,work,True
10,rule,2,7.727,20.464,1.106,34.05,1.7582,0.8982,10,work,True
10,rule,3,7.352,16.328,0.902,29.255,1.7582,0.8982,10,gather,True
10,rule,4,5.97,19.895,0.998,30.391,1.7582,0.8982,10,work,True
10,rule,5,9.665,15.279,0.98,32.272,1.7582,0.8982,10,gather,True
10,rule,6,8.587,18.079,1.061,33.176,1.7582,0.8982,10,work,True
10,rule,7,9.654,19.228,1.115,36.201,1.7582,0.8982,10,work,True
10,rule,8,2.904,18.865,0.838,23.972,1.7582,0.8982,10,work,True
10,rule,9,5.925,15.628,0.811,26.046,1.7582,0.8982,10,gather,True
11,rule,0,5.38,17.651,0.854,27.469,1.825,0.9265,10,gather,True
11,rule,1,11.586,16.708,1.139,37.852,1.825,0.9265,10,work,True
11,rule,2,9.278,20.464,1.106,37.396,1.825,0.9265,10,gather,True
11,rule,3,6.352,18.441,0.902,30.034,1.825,0.9265,10,work,True
11,rule,4,7.293,19.895,0.998,33.204,1.825,0.9265,10,gather,True
11,rule,5,10.631,15.279,0.98,34.68,1.825,0.9265,10,gather,True
11,rule,6,7.587,20.42,1.061,34.266,1.825,0.9265,10,work,True
