timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,rule,10,0,0,64.858,50.0,3.2534,0,10,0,0.0259,0.0259
1,rule,10,0,0,68.826,61.546,2.227,0,6,4,0.0373,0.0373
2,rule,10,0,0,65.648,80.246,2.048,0,3,7,0.0454,0.0454
3,rule,10,0,0,65.419,96.208,2.1892,0,4,6,0.051,0.051
4,rule,10,0,0,62.083,113.732,2.2,0,3,7,0.0571,0.0571
5,rule,10,0,0,66.956,122.408,2.3702,0,6,4,0.0704,0.0704
6,rule,10,0,0,66.305,136.772,2.1289,0,4,6,0.0689,0.0689
7,rule,10,0,0,70.493,144.947,2.1585,0,6,4,0.0876,0.0876
8,rule,10,0,0,73.519,154.12,1.9805,0,6,4,0.0848,0.0848
9,rule,10,0,0,76.801,162.141,1.8678,0,6,4,0.0877,0.0877
10,rule,10,0,0,74.758,175.331,1.7582,0,4,6,0.0777,0.0777
11,rule,10,0,0,78.09,184.256,1.825,0,6,4,0.0786,0.0786
12,rule,10,0,0,76.732,196.083,1.7183,0,4,6,0.0766,0.0766
13,rule,10,0,0,74.876,207.702,1.7604,0,4,6,0.0818,0.0818
14,rule,10,0,0,73.803,219.666,1.821,0,4,6,0.0766,0.0766
15,rule,10,0,0,71.795,230.179,1.8578,0,4,6,0.0838,0.0838
16,rule,10,0,0,73.008,239.722,1.9305,0,5,5,0.0746,0.0746
17,rule,10,0,0,76.379,246.708,1.886,0,6,4,0.0718,0.0718
18,rule,10,0,0,79.204,253.956,1.7716,0,6,4,0.0732,0.0732
19,rule,10,0,0,77.932,264.449,1.6852,0,4,6,0.0656,0.0656
20,rule,10,0,0,78.739,272.421,1.7232,0,5,5,0.0739,0.0739
21,rule,10,0,0,83.25,277.313,1.6989,0,7,3,0.0719,0.0719
22,rule,10,0,0,83.076,284.474,1.5741,0,5,5,0.0726,0.0726
23,rule,10,0,0,81.396,293.389,1.5786,0,4,6,0.0732,0.0732
24,rule,10,0,0,75.363,304.977,1.6233,0,2,8,0.0783,0.0783
25,rule,10,0,0,74.43,313.726,1.8047,0,4,6,0.0814,0.0814
26,rule,10,0,0,74.494,320.355,1.8361,0,5,5,0.0846,0.0846
27,rule,10,0,0,80.52,325.027,1.834,0,7,3,0.0725,0.0725
28,rule,10,0,0,79.206,333.283,1.6475,0,4,6,0.0623,0.0623
29,rule,10,0,0,79.606,339.71,1.6852,0,5,5,0.0645,0.0645
