timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_social_welfare,0,4.0,6.906,0.854,21.232,3.5814,1.625,10,work,True
0,finetuned_social_welfare,1,4.0,7.26,1.139,21.586,3.5814,1.625,10,work,True
0,finetuned_social_welfare,2,4.0,7.374,1.106,21.699,3.5814,1.625,10,work,True
0,finetuned_social_welfare,3,4.0,6.545,0.902,20.871,3.5814,1.625,10,work,True
0,finetuned_social_welfare,4,4.0,6.983,0.998,21.309,3.5814,1.625,10,work,True
0,finetuned_social_welfare,5,4.0,7.098,0.98,21.423,3.5814,1.625,10,work,True
0,finetuned_social_welfare,6,4.0,6.99,1.061,21.315,3.5814,1.625,10,work,True
0,finetuned_social_welfare,7,4.0,7.494,1.115,21.82,3.5814,1.625,10,work,True
0,finetuned_social_welfare,8,4.0,6.91,0.838,21.235,3.5814,1.625,10,work,True
0,finetuned_social_welfare,9,4.0,6.378,0.811,20.704,3.5814,1.625,10,work,True
1,finetuned_social_welfare,0,3.0,8.316,0.854,23.491,5.058,2.1667,10,work,True
1,finetuned_social_welfare,1,3.0,9.484,1.139,24.658,5.058,2.1667,10,work,True
1,finetuned_social_welfare,2,3.0,9.738,1.106,24.912,5.058,2.1667,10,work,True
1,finetuned_social_welfare,3,3.0,8.25,0.902,23.424,5.058,2.1667,10,work,True
1,finetuned_social_welfare,4,3.0,8.773,0.998,23.947,5.058,2.1667,10,work,True
1,finetuned_social_welfare,5,3.0,8.957,0.98,24.131,5.058,2.1667,10,work,True
1,finetuned_social_welfare,6,3.0,8.802,1.061,23.976,5.058,2.1667,10,work,True
1,finetuned_social_welfare,7,3.0,9.496,1.115,24.67,5.058,2.1667,10,work,True
1,finetuned_social_welfare,8,3.0,8.507,0.838,23.681,5.058,2.1667,10,work,True
1,finetuned_social_welfare,9,3.0,7.971,0.811,23.145,5.058,2.1667,10,work,True
2,finetuned_social_welfare,0,3.581,8.316,0.854,37.778,8.2279,3.25,10,gather,True
2,finetuned_social_welfare,1,4.157,9.484,1.139,43.686,8.2279,3.25,10,gather,True
2,finetuned_social_welfare,2,4.082,9.738,1.106,43.327,8.2279,3.25,10,gather,True
2,finetuned_social_welfare,3,3.803,8.25,0.902,39.544,8.2279,3.25,10,gather,True
2,finetuned_social_welfare,4,3.904,8.773,0.998,40.897,8.2279,3.25,10,gather,True
2,finetuned_social_welfare,5,3.719,8.957,0.98,39.557,8.2279,3.25,10,gather,True
