timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_social_welfare,10,0,0,40.0,69.938,3.5814,0,0,10,0.0085,0.0085
1,finetuned_social_welfare,10,0,0,30.0,88.295,5.058,0,0,10,0.0133,0.0133
2,finetuned_social_welfare,10,0,0,39.111,88.295,8.2279,0,10,0,0.0377,0.0377
3,finetuned_social_welfare,10,0,0,29.111,107.489,5.244,0,0,10,0.0453,0.0453
4,finetuned_social_welfare,10,0,0,39.121,107.489,8.6894,0,10,0,0.0601,0.0601
5,finetuned_social_welfare,10,0,0,29.121,125.214,5.2418,0,0,10,0.0687,0.0687
6,finetuned_social_welfare,10,0,0,32.862,130.414,8.6839,0,7,3,0.0926,0.0926
7,finetuned_social_welfare,10,0,0,32.214,139.48,7.008,0,5,5,0.0879,0.0879
8,finetuned_social_welfare,10,0,0,30.382,149.997,7.2538,0,4,6,0.1001,0.1001
9,finetuned_social_welfare,10,0,0,31.247,156.622,8.0431,0,6,4,0.1621,0.1621
10,finetuned_social_welfare,10,0,0,35.238,161.313,7.6519,1,7,3,0.1711,0.1711
11,finetuned_social_welfare,10,0,0,26.542,175.569,6.2237,2,1,9,0.1866,0.1866
12,finetuned_social_welfare,10,0,0,28.772,181.892,10.0,1,6,4,0.1512,0.1512
13,finetuned_social_welfare,10,0,0,36.21,183.235,8.8778,0,9,1,0.1344,0.1344
14,finetuned_social_welfare,10,0,0,40.225,187.157,5.948,1,7,3,0.1585,0.1585
15,finetuned_social_welfare,10,0,0,33.397,198.553,5.0129,2,2,8,0.1618,0.1618
16,finetuned_social_welfare,10,0,0,31.564,206.366,6.8162,3,4,6,0.2208,0.2208
17,finetuned_social_welfare,10,0,0,40.513,206.366,7.517,0,10,0,0.1919,0.1919
18,finetuned_social_welfare,10,0,0,38.659,213.721,4.9562,0,4,6,0.1982,0.1982
19,finetuned_social_welfare,10,0,0,44.639,217.096,5.3432,0,8,2,0.2111,0.2111
20,finetuned_social_welfare,10,0,0,36.415,229.234,4.2564,1,1,9,0.2176,0.2176
21,finetuned_social_welfare,10,0,0,34.05,238.601,5.8925,3,4,6,0.2679,0.2679
22,finetuned_social_welfare,10,0,0,41.706,240.085,6.5946,1,9,1,0.2552,0.2552
23,finetuned_social_welfare,10,0,0,39.462,247.612,4.7332,1,4,6,0.2614,0.2614
24,finetuned_social_welfare,10,0,0,42.94,252.18,5.169,1,7,3,0.2661,0.2661
25,finetuned_social_welfare,10,0,0,45.536,254.455,4.5212,0,7,3,0.2305,0.2305
26,finetuned_social_welfare,10,0,0,35.536,266.595,4.1278,0,0,10,0.2459,0.2459
27,finetuned_social_welfare,10,0,0,44.441,266.595,6.1367,0,10,0,0.2129,0.2129
28,finetuned_social_welfare,10,0,0,34.441,277.946,4.2858,1,0,10,0.2412,0.2412
29,finetuned_social_welfare,10,0,0,39.236,280.933,6.4682,1,8,2,0.2438,0.2438
