timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_survival,0,5.747,5.0,0.854,25.582,3.5814,1.625,10,gather,True
0,finetuned_survival,1,6.071,5.0,1.139,26.743,3.5814,1.625,10,gather,True
0,finetuned_survival,2,6.175,5.0,1.106,27.116,3.5814,1.625,10,gather,True
0,finetuned_survival,3,5.416,5.0,0.902,24.397,3.5814,1.625,10,gather,True
0,finetuned_survival,4,5.817,5.0,0.998,25.833,3.5814,1.625,10,gather,True
0,finetuned_survival,5,5.922,5.0,0.98,26.21,3.5814,1.625,10,gather,True
0,finetuned_survival,6,5.823,5.0,1.061,25.856,3.5814,1.625,10,gather,True
0,finetuned_survival,7,6.286,5.0,1.115,27.512,3.5814,1.625,10,gather,True
0,finetuned_survival,8,5.75,5.0,0.838,25.593,3.5814,1.625,10,gather,True
0,finetuned_survival,9,5.263,5.0,0.811,23.848,3.5814,1.625,10,gather,True
1,finetuned_survival,0,6.038,5.0,0.854,22.258,2.8583,1.3466,10,gather,True
1,finetuned_survival,1,7.088,5.0,1.139,25.26,2.8583,1.3466,10,gather,True
1,finetuned_survival,2,7.313,5.0,1.106,25.902,2.8583,1.3466,10,gather,True
1,finetuned_survival,3,5.991,5.0,0.902,22.125,2.8583,1.3466,10,gather,True
1,finetuned_survival,4,6.453,5.0,0.998,23.444,2.8583,1.3466,10,gather,True
1,finetuned_survival,5,6.616,5.0,0.98,23.91,2.8583,1.3466,10,gather,True
1,finetuned_survival,6,6.479,5.0,1.061,23.517,2.8583,1.3466,10,gather,True
1,finetuned_survival,7,7.089,5.0,1.115,25.264,2.8583,1.3466,10,gather,True
1,finetuned_survival,8,6.212,5.0,0.838,22.757,2.8583,1.3466,10,gather,True
1,finetuned_survival,9,5.741,5.0,0.811,21.41,2.8583,1.3466,10,gather,True
2,finetuned_survival,0,6.41,5.0,0.854,20.658,2.4429,1.1814,10,gather,True
2,finetuned_survival,1,7.862,5.0,1.139,24.205,2.4429,1.1814,10,gather,True
2,finetuned_survival,2,8.005,5.0,1.106,24.554,2.4429,1.1814,10,gather,True
2,finetuned_survival,3,6.56,5.0,0.902,21.025,2.4429,1.1814,10,gather,True
2,finetuned_survival,4,7.071,5.0,0.998,22.274,2.4429,1.1814,10,gather,True
2,finetuned_survival,5,7.065,5.0,0.98,22.258,2.4429,1.1814,10,gather,True
2,finetuned_survival,6,7.459,5.0,1.061,23.221,2.4429,1.1814,10,gather,True
2,finetuned_survival,7,7.971,5.0,1.115,24.473,2.4429,1.1814,10,gather,True
2,finetuned_survival,8,6.738,5.0,0.838,21.461,2.4429,1.1814,10,gather,True
2,finetuned_survival,9,6.035,5.0,0.811,19.743,2.4429,1.1814,10,gather,True
3,finetuned_survival,0,7.113,5.0,0.854,20.3,2.151,1.0625,10,gather,True
3,finetuned_survival,1,8.836,5.0,1.139,24.007,2.151,1.0625,10,gather,True
3,finetuned_survival,2,8.592,5.0,1.106,23.48,2.151,1.0625,10,gather,True
3,finetuned_survival,3,7.025,5.0,0.902,20.111,2.151,1.0625,10,gather,True
3,finetuned_survival,4,7.834,5.0,0.998,21.852,2.151,1.0625,10,gather,True
3,finetuned_survival,5,7.793,5.0,0.98,21.763,2.151,1.0625,10,gather,True
3,finetuned_survival,6,8.384,5.0,1.061,23.033,2.151,1.0625,10,gather,True
3,finetuned_survival,7,6.971,7.207,1.115,22.202,2.151,1.0625,10,work,True
3,finetuned_survival,8,7.311,5.0,0.838,20.725,2.151,1.0625,10,gather,True
3,finetuned_survival,9,6.542,5.0,0.811,19.072,2.151,1.0625,10,gather,True
4,finetuned_survival,0,6.113,6.614,0.854,18.531,1.9495,0.9789,10,work,True
4,finetuned_survival,1,7.836,7.345,1.139,22.622,1.9495,0.9789,10,work,True
4,finetuned_survival,2,7.592,7.44,1.106,22.239,1.9495,0.9789,10,work,True
4,finetuned_survival,3,6.025,7.009,0.902,18.755,1.9495,0.9789,10,work,True
4,finetuned_survival,4,6.834,7.016,0.998,20.339,1.9495,0.9789,10,work,True
4,finetuned_survival,5,6.793,7.025,0.98,20.268,1.9495,0.9789,10,work,True
4,finetuned_survival,6,7.384,6.883,1.061,21.277,1.9495,0.9789,10,work,True
4,finetuned_survival,7,7.722,7.207,1.115,22.26,1.9495,0.9789,10,gather,True
4,finetuned_survival,8,6.311,6.853,0.838,19.155,1.9495,0.9789,10,work,True
4,finetuned_survival,9,5.542,6.589,0.811,17.393,1.9495,0.9789,10,work,True
5,finetuned_survival,0,6.451,6.614,0.854,21.36,2.2859,1.1178,10,gather,True
5,finetuned_survival,1,8.678,7.345,1.139,27.182,2.2859,1.1178,10,gather,True
5,finetuned_survival,2,8.472,7.44,1.106,26.806,2.2859,1.1178,10,gather,True
5,finetuned_survival,3,6.694,7.009,0.902,22.312,2.2859,1.1178,10,gather,True
5,finetuned_survival,4,7.46,7.016,0.998,24.069,2.2859,1.1178,10,gather,True
5,finetuned_survival,5,7.421,7.025,0.98,23.989,2.2859,1.1178,10,gather,True
5,finetuned_survival,6,8.125,6.883,1.061,25.455,2.2859,1.1178,10,gather,True
5,finetuned_survival,7,8.638,7.207,1.115,26.952,2.2859,1.1178,10,gather,True
5,finetuned_survival,8,6.772,6.853,0.838,22.332,2.2859,1.1178,10,gather,True
5,finetuned_survival,9,5.95,6.589,0.811,20.191,2.2859,1.1178,10,gather,True
6,finetuned_survival,0,6.915,6.614,0.854,20.53,2.0125,1.0052,10,gather,True
6,finetuned_survival,1,9.219,7.345,1.139,25.898,2.0125,1.0052,10,gather,True
6,finetuned_survival,2,7.472,9.33,1.106,24.368,2.0125,1.0052,10,work,True
6,finetuned_survival,3,7.321,7.009,0.902,21.743,2.0125,1.0052,10,gather,True
6,finetuned_survival,4,8.304,7.016,0.998,23.728,2.0125,1.0052,10,gather,True
6,finetuned_survival,5,8.065,7.025,0.98,23.255,2.0125,1.0052,10,gather,True
6,finetuned_survival,6,7.125,8.892,1.061,23.231,2.0125,1.0052,10,work,True
6,finetuned_survival,7,9.205,7.207,1.115,25.732,2.0125,1.0052,10,gather,True
6,finetuned_survival,8,7.19,6.853,0.838,21.323,2.0125,1.0052,10,gather,True
6,finetuned_survival,9,6.614,6.589,0.811,19.9,2.0125,1.0052,10,gather,True
7,finetuned_survival,0,7.473,6.614,0.854,20.915,1.9139,0.964,10,gather,True
7,finetuned_survival,1,8.219,9.565,1.139,25.294,1.9139,0.964,10,work,True
7,finetuned_survival,2,6.472,11.567,1.106,23.954,1.9139,0.964,10,work,True
