timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_survival,10,0,0,58.271,50.0,3.5814,0,10,0,0.0231,0.0231
1,finetuned_survival,10,0,0,65.02,50.0,2.8583,0,10,0,0.0343,0.0343
2,finetuned_survival,10,0,0,71.175,50.0,2.4429,0,10,0,0.0407,0.0407
3,finetuned_survival,10,0,0,76.401,52.207,2.151,0,9,1,0.0398,0.0398
4,finetuned_survival,10,0,0,68.152,69.98,1.9495,0,1,9,0.0478,0.0478
5,finetuned_survival,10,0,0,74.662,69.98,2.2859,0,10,0,0.0557,0.0557
6,finetuned_survival,10,0,0,77.429,73.88,2.0125,0,8,2,0.0486,0.0486
7,finetuned_survival,10,0,0,74.835,84.563,1.9139,0,5,5,0.0429,0.0429
8,finetuned_survival,10,0,0,81.477,84.563,2.0061,0,10,0,0.046,0.046
9,finetuned_survival,10,0,0,86.657,84.563,1.7845,0,10,0,0.0537,0.0537
10,finetuned_survival,10,0,0,87.616,89.694,1.6408,0,7,3,0.0605,0.0605
11,finetuned_survival,10,0,0,91.775,89.694,1.6165,0,10,0,0.0645,0.0645
12,finetuned_survival,10,0,0,95.57,89.694,1.5184,0,10,0,0.0649,0.0649
13,finetuned_survival,10,0,0,99.303,89.694,1.4379,0,10,0,0.0657,0.0657
14,finetuned_survival,10,0,0,102.723,89.694,1.3661,0,10,0,0.0654,0.0654
15,finetuned_survival,10,0,0,105.957,89.694,1.3059,0,10,0,0.0658,0.0658
16,finetuned_survival,10,0,0,107.972,91.806,1.2532,0,9,1,0.0674,0.0674
17,finetuned_survival,10,0,0,110.385,93.465,1.2224,0,9,1,0.0671,0.0671
18,finetuned_survival,10,0,0,108.977,99.044,1.1872,0,7,3,0.0676,0.0676
19,finetuned_survival,10,0,0,111.761,99.044,1.2075,0,10,0,0.0705,0.0705
20,finetuned_survival,10,0,0,114.989,99.044,1.168,0,10,0,0.0711,0.0711
21,finetuned_survival,10,0,0,117.156,99.044,1.125,0,10,0,0.0722,0.0722
22,finetuned_survival,10,0,0,119.36,99.044,1.0978,0,10,0,0.0709,0.0709
23,finetuned_survival,10,0,0,117.644,104.924,1.0713,0,7,3,0.0733,0.0733
24,finetuned_survival,10,0,0,118.743,106.605,1.0918,0,9,1,0.0747,0.0747
25,finetuned_survival,10,0,0,117.031,111.664,1.0786,0,7,3,0.0749,0.0749
26,finetuned_survival,10,0,0,119.219,111.664,1.0993,0,10,0,0.0758,0.0758
27,finetuned_survival,10,0,0,119.919,113.513,1.0729,0,9,1,0.0746,0.0746
28,finetuned_survival,10,0,0,122.088,113.513,1.0647,0,10,0,0.0745,0.0745
29,finetuned_survival,10,0,0,123.868,113.513,1.0401,0,10,0,0.0745,0.0745
