timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_wealth_maximizing,0,4.0,6.906,0.854,21.232,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,1,4.0,7.26,1.139,21.586,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,2,4.0,7.374,1.106,21.699,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,3,4.0,6.545,0.902,20.871,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,4,4.0,6.983,0.998,21.309,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,5,4.0,7.098,0.98,21.423,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,6,4.0,6.99,1.061,21.315,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,7,4.0,7.494,1.115,21.82,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,8,4.0,6.91,0.838,21.235,3.5814,1.625,10,work,True
0,finetuned_wealth_maximizing,9,4.0,6.378,0.811,20.704,3.5814,1.625,10,work,True
1,finetuned_wealth_maximizing,0,3.0,8.316,0.854,23.491,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,1,3.0,9.484,1.139,24.658,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,2,3.0,9.738,1.106,24.912,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,3,3.0,8.25,0.902,23.424,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,4,3.0,8.773,0.998,23.947,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,5,3.0,8.957,0.98,24.131,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,6,3.0,8.802,1.061,23.976,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,7,3.0,9.496,1.115,24.67,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,8,3.0,8.507,0.838,23.681,5.058,2.1667,10,work,True
1,finetuned_wealth_maximizing,9,3.0,7.971,0.811,23.145,5.058,2.1667,10,work,True
2,finetuned_wealth_maximizing,0,2.0,9.796,0.854,26.252,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,1,2.0,11.458,1.139,27.914,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,2,2.0,11.634,1.106,28.09,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,3,2.0,9.94,0.902,26.396,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,4,2.0,10.54,0.998,26.996,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,5,2.0,10.547,0.98,27.002,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,6,2.0,10.966,1.061,27.421,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,7,2.0,11.59,1.115,28.046,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,8,2.0,10.162,0.838,26.618,8.2279,3.25,10,work,True
2,finetuned_wealth_maximizing,9,2.0,9.355,0.811,25.811,8.2279,3.25,10,work,True
3,finetuned_wealth_maximizing,0,1.0,11.615,0.854,21.615,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,1,1.0,13.66,1.139,23.66,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,2,1.0,13.411,1.106,23.411,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,3,1.0,11.512,0.902,21.512,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,4,1.0,12.46,0.998,22.46,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,5,1.0,12.428,0.98,22.428,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,6,1.0,13.087,1.061,23.087,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,7,1.0,13.532,1.115,23.532,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,8,1.0,11.857,0.838,21.857,10.0,6.5,10,work,True
3,finetuned_wealth_maximizing,9,1.0,10.948,0.811,20.948,10.0,6.5,10,work,True
