timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_wealth_maximizing,10,0,0,40.0,69.938,3.5814,0,0,10,0.0085,0.0085
1,finetuned_wealth_maximizing,10,0,0,30.0,88.295,5.058,0,0,10,0.0133,0.0133
2,finetuned_wealth_maximizing,10,0,0,20.0,105.989,8.2279,0,0,10,0.0159,0.0159
3,finetuned_wealth_maximizing,10,0,0,10.0,124.511,10.0,0,0,10,0.0228,0.0228
4,finetuned_wealth_maximizing,0,10,10,0,0,10.0,0,0,0,0.0,-0.0
5,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
6,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
7,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
8,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
9,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
10,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
11,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
12,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
13,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
14,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
15,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
16,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
17,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
18,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
19,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
20,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
21,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
22,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
23,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
24,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
25,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
26,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
27,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
28,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
29,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
