timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,llm_survival_few_shot,0,5.747,5.0,0.854,25.582,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,1,6.071,5.0,1.139,26.743,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,2,6.175,5.0,1.106,27.116,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,3,5.416,5.0,0.902,24.397,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,4,5.817,5.0,0.998,25.833,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,5,5.922,5.0,0.98,26.21,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,6,5.823,5.0,1.061,25.856,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,7,6.286,5.0,1.115,27.512,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,8,5.75,5.0,0.838,25.593,3.5814,1.625,10,gather,True
0,llm_survival_few_shot,9,5.263,5.0,0.811,23.848,3.5814,1.625,10,gather,True
1,llm_survival_few_shot,0,4.747,6.461,0.854,20.029,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,1,5.071,7.32,1.139,21.814,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,2,5.175,7.471,1.106,22.263,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,3,4.416,6.754,0.902,19.376,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,4,4.817,6.857,0.998,20.626,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,5,4.922,6.933,0.98,21.003,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,6,6.479,5.0,1.061,23.517,2.8583,1.3466,10,gather,True
1,llm_survival_few_shot,7,5.286,7.097,1.115,22.205,2.8583,1.3466,10,work,True
1,llm_survival_few_shot,8,6.212,5.0,0.838,22.757,2.8583,1.3466,10,gather,True
1,llm_survival_few_shot,9,5.741,5.0,0.811,21.41,2.8583,1.3466,10,gather,True
2,llm_survival_few_shot,0,5.208,6.461,0.854,23.625,3.296,1.5163,10,gather,True
2,llm_survival_few_shot,1,4.071,9.378,1.139,22.796,3.296,1.5163,10,work,True
2,llm_survival_few_shot,2,6.061,7.471,1.106,27.446,3.296,1.5163,10,gather,True
2,llm_survival_few_shot,3,5.108,6.754,0.902,23.591,3.296,1.5163,10,gather,True
2,llm_survival_few_shot,4,5.571,6.857,0.998,25.219,3.296,1.5163,10,gather,True
2,llm_survival_few_shot,5,5.498,6.933,0.98,25.053,3.296,1.5163,10,gather,True
2,llm_survival_few_shot,6,5.479,7.325,1.061,25.382,3.296,1.5163,10,work,True
