timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,llm_survival,0,4.0,6.906,0.854,21.232,3.5814,1.625,10,work,True
0,llm_survival,1,4.0,7.26,1.139,21.586,3.5814,1.625,10,work,True
0,llm_survival,2,4.0,7.374,1.106,21.699,3.5814,1.625,10,work,True
0,llm_survival,3,4.0,6.545,0.902,20.871,3.5814,1.625,10,work,True
0,llm_survival,4,4.0,6.983,0.998,21.309,3.5814,1.625,10,work,True
0,llm_survival,5,5.922,5.0,0.98,26.21,3.5814,1.625,10,gather,True
0,llm_survival,6,5.823,5.0,1.061,25.856,3.5814,1.625,10,gather,True
0,llm_survival,7,4.0,7.494,1.115,21.82,3.5814,1.625,10,work,True
0,llm_survival,8,4.0,6.91,0.838,21.235,3.5814,1.625,10,work,True
0,llm_survival,9,4.0,6.378,0.811,20.704,3.5814,1.625,10,work,True
1,llm_survival,0,3.0,8.316,0.854,21.493,4.392,1.9262,10,work,True
1,llm_survival,1,3.0,9.484,1.139,22.66,4.392,1.9262,10,work,True
1,llm_survival,2,3.0,9.738,1.106,22.914,4.392,1.9262,10,work,True
1,llm_survival,3,3.0,8.25,0.902,21.426,4.392,1.9262,10,work,True
1,llm_survival,4,3.0,8.773,0.998,21.949,4.392,1.9262,10,work,True
1,llm_survival,5,6.616,5.0,0.98,34.057,4.392,1.9262,10,gather,True
1,llm_survival,6,6.479,5.0,1.061,33.454,4.392,1.9262,10,gather,True
1,llm_survival,7,3.0,9.496,1.115,22.672,4.392,1.9262,10,work,True
1,llm_survival,8,3.0,8.507,0.838,21.683,4.392,1.9262,10,work,True
1,llm_survival,9,3.0,7.971,0.811,21.147,4.392,1.9262,10,work,True
2,llm_survival,0,2.0,9.796,0.854,21.228,5.7157,2.399,10,work,True
2,llm_survival,1,2.0,11.458,1.139,22.889,5.7157,2.399,10,work,True
2,llm_survival,2,2.0,11.634,1.106,23.065,5.7157,2.399,10,work,True
2,llm_survival,3,2.0,9.94,0.902,21.372,5.7157,2.399,10,work,True
