timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,random,0,4.0,6.461,0.854,20.786,3.5814,1.625,10,work,True
0,random,1,4.0,7.32,1.139,21.645,3.5814,1.625,10,work,True
0,random,2,6.264,5.0,1.106,27.435,3.5814,1.625,10,gather,True
0,random,3,4.0,6.754,0.902,21.079,3.5814,1.625,10,work,True
0,random,4,4.0,6.857,0.998,21.183,3.5814,1.625,10,work,True
0,random,5,5.771,5.0,0.98,25.67,3.5814,1.625,10,gather,True
0,random,6,5.723,5.0,1.061,25.495,3.5814,1.625,10,gather,True
0,random,7,4.0,7.097,1.115,21.422,3.5814,1.625,10,work,True
0,random,8,5.516,5.0,0.838,24.757,3.5814,1.625,10,gather,True
0,random,9,5.497,5.0,0.811,24.688,3.5814,1.625,10,gather,True
1,random,0,4.721,6.461,0.854,24.014,3.7179,1.6765,10,gather,True
1,random,1,3.0,9.638,1.139,20.791,3.7179,1.6765,10,work,True
1,random,2,7.088,5.0,1.106,31.352,3.7179,1.6765,10,gather,True
1,random,3,4.875,6.754,0.902,24.878,3.7179,1.6765,10,gather,True
1,random,4,3.0,9.012,0.998,20.166,3.7179,1.6765,10,work,True
1,random,5,4.771,7.236,0.98,24.976,3.7179,1.6765,10,work,True
1,random,6,6.616,5.0,1.061,29.597,3.7179,1.6765,10,gather,True
1,random,7,3.0,9.507,1.115,20.661,3.7179,1.6765,10,work,True
1,random,8,6.03,5.0,0.838,27.419,3.7179,1.6765,10,gather,True
1,random,9,6.163,5.0,0.811,27.913,3.7179,1.6765,10,gather,True
2,random,0,5.404,6.461,0.854,26.251,3.6622,1.6555,10,gather,True
2,random,1,2.0,11.674,1.139,18.998,3.6622,1.6555,10,work,True
2,random,2,6.088,7.44,1.106,29.735,3.6622,1.6555,10,work,True
2,random,3,3.875,8.662,0.902,22.851,3.6622,1.6555,10,work,True
2,random,4,2.0,11.0,0.998,18.324,3.6622,1.6555,10,work,True
2,random,5,5.391,7.236,0.98,26.979,3.6622,1.6555,10,gather,True
2,random,6,5.616,7.229,1.061,27.795,3.6622,1.6555,10,work,True
2,random,7,4.041,9.507,1.115,24.307,3.6622,1.6555,10,gather,True
2,random,8,5.03,6.504,0.838,24.925,3.6622,1.6555,10,work,True
2,random,9,5.163,6.823,0.811,25.731,3.6622,1.6555,10,work,True
3,random,0,4.404,8.395,0.854,27.16,4.2611,1.8782,10,work,True
3,random,1,1.0,13.823,1.139,18.084,4.2611,1.8782,10,work,True
3,random,2,7.044,7.44,1.106,37.455,4.2611,1.8782,10,gather,True
3,random,3,2.875,10.545,0.902,22.794,4.2611,1.8782,10,work,True
3,random,4,2.954,11.0,0.998,23.587,4.2611,1.8782,10,gather,True
3,random,5,4.391,9.139,0.98,27.85,4.2611,1.8782,10,work,True
3,random,6,4.616,9.52,1.061,29.188,4.2611,1.8782,10,work,True
3,random,7,5.238,9.507,1.115,31.826,4.2611,1.8782,10,gather,True
3,random,8,5.555,6.504,0.838,30.174,4.2611,1.8782,10,gather,True
3,random,9,5.535,6.823,0.811,30.409,4.2611,1.8782,10,gather,True
4,random,0,3.404,10.172,0.854,25.194,4.4131,1.9339,10,work,True
4,random,1,3.356,9.41,1.139,24.221,4.4131,1.9339,10,gather,True
4,random,2,6.747,11.853,1.106,41.627,4.4131,1.9339,10,gather,True
4,random,3,1.875,12.2,0.902,20.473,4.4131,1.9339,10,work,True
4,random,4,4.137,11.0,0.998,29.255,4.4131,1.9339,10,gather,True
4,random,5,3.391,10.88,0.98,25.846,4.4131,1.9339,10,work,True
4,random,6,3.616,11.534,1.061,27.49,4.4131,1.9339,10,work,True
4,random,7,6.428,9.507,1.115,37.873,4.4131,1.9339,10,gather,True
4,random,8,4.555,8.219,0.838,28.321,4.4131,1.9339,10,work,True
4,random,9,4.535,8.432,0.811,28.447,4.4131,1.9339,10,work,True
5,random,0,3.966,10.172,0.854,28.706,4.6736,2.0285,10,gather,True
5,random,1,4.414,9.41,1.139,30.037,4.6736,2.0285,10,gather,True
5,random,2,5.747,13.865,1.106,40.722,4.6736,2.0285,10,work,True
5,random,3,2.7,12.2,0.902,24.817,4.6736,2.0285,10,gather,True
5,random,4,4.831,11.0,0.998,33.579,4.6736,2.0285,10,gather,True
5,random,5,4.156,10.88,0.98,30.303,4.6736,2.0285,10,gather,True
5,random,6,4.72,11.534,1.061,33.591,4.6736,2.0285,10,gather,True
5,random,7,5.428,11.405,1.115,36.772,4.6736,2.0285,10,work,True
5,random,8,5.019,8.219,0.838,31.674,4.6736,2.0285,10,gather,True
5,random,9,3.535,10.075,0.811,26.598,4.6736,2.0285,10,work,True
6,random,0,2.966,11.879,0.854,24.558,4.275,1.8833,10,work,True
6,random,1,3.414,11.4,1.139,25.993,4.275,1.8833,10,work,True
6,random,2,4.747,15.621,1.106,35.913,4.275,1.8833,10,work,True
6,random,3,1.7,13.891,0.902,21.157,4.275,1.8833,10,work,True
6,random,4,5.933,11.0,0.998,36.363,4.275,1.8833,10,gather,True
6,random,5,5.283,10.88,0.98,33.466,4.275,1.8833,10,gather,True
6,random,6,3.72,13.385,1.061,29.287,4.275,1.8833,10,work,True
6,random,7,4.428,13.624,1.115,32.552,4.275,1.8833,10,work,True
6,random,8,4.019,9.667,0.838,26.847,4.275,1.8833,10,work,True
6,random,9,2.535,11.509,0.811,22.347,4.275,1.8833,10,work,True
7,random,0,3.785,11.879,0.854,32.031,5.3246,2.2614,10,gather,True
7,random,1,4.637,11.4,1.139,36.093,5.3246,2.2614,10,gather,True
7,random,2,3.747,17.525,1.106,37.475,5.3246,2.2614,10,work,True
7,random,3,1.7,9.919,0.902,18.969,5.3246,2.2614,10,work,True
7,random,4,5.557,16.325,0.998,45.913,5.3246,2.2614,10,gather,True
7,random,5,4.283,12.423,0.98,35.23,5.3246,2.2614,10,work,True
7,random,6,4.57,13.385,1.061,37.717,5.3246,2.2614,10,gather,True
7,random,7,5.326,13.624,1.115,41.983,5.3246,2.2614,10,gather,True
7,random,8,3.019,11.423,0.838,27.496,5.3246,2.2614,10,work,True
7,random,9,1.535,12.854,0.811,21.028,5.3246,2.2614,10,work,True
8,random,0,2.785,13.242,0.854,28.439,5.4575,2.3084,10,work,True
8,random,1,3.637,13.235,1.139,33.087,5.4575,2.3084,10,work,True
8,random,2,4.951,17.525,1.106,44.544,5.4575,2.3084,10,gather,True
8,random,3,2.86,9.919,0.902,25.527,5.4575,2.3084,10,gather,True
8,random,4,6.397,16.325,0.998,51.239,5.4575,2.3084,10,gather,True
8,random,5,5.152,12.423,0.98,40.539,5.4575,2.3084,10,gather,True
8,random,6,3.57,15.402,1.061,34.884,5.4575,2.3084,10,work,True
8,random,7,5.301,19.081,1.115,48.011,5.4575,2.3084,10,gather,True
8,random,8,3.715,11.423,0.838,31.697,5.4575,2.3084,10,gather,True
8,random,9,1.535,8.571,0.811,16.95,5.4575,2.3084,10,work,True
9,random,0,1.785,14.787,0.854,23.849,5.0778,2.1737,10,work,True
9,random,1,4.06,18.313,1.139,38.929,5.0778,2.1737,10,gather,True
9,random,2,6.217,17.525,1.106,49.093,5.0778,2.1737,10,gather,True
9,random,3,3.61,9.919,0.902,28.25,5.0778,2.1737,10,gather,True
9,random,4,5.397,18.09,0.998,45.497,5.0778,2.1737,10,work,True
9,random,5,6.043,12.423,0.98,43.108,5.0778,2.1737,10,gather,True
9,random,6,2.57,17.13,1.061,30.178,5.0778,2.1737,10,work,True
9,random,7,4.301,20.954,1.115,42.793,5.0778,2.1737,10,work,True
9,random,8,4.215,11.423,0.838,32.828,5.0778,2.1737,10,gather,True
9,random,9,1.535,5.139,0.811,12.935,5.0778,2.1737,10,work,True
10,random,0,2.38,14.787,0.854,26.953,5.1125,2.1861,10,gather,True
10,random,1,5.12,18.313,1.139,44.487,5.1125,2.1861,10,gather,True
10,random,2,7.352,17.525,1.106,55.114,5.1125,2.1861,10,gather,True
10,random,3,4.537,9.919,0.902,33.117,5.1125,2.1861,10,gather,True
10,random,4,3.397,24.827,0.998,42.196,5.1125,2.1861,10,work,True
10,random,5,5.043,14.127,0.98,39.909,5.1125,2.1861,10,work,True
10,random,6,1.57,18.831,1.061,26.856,5.1125,2.1861,10,work,True
10,random,7,3.301,22.656,1.115,39.532,5.1125,2.1861,10,work,True
10,random,8,3.215,12.828,0.838,29.266,5.1125,2.1861,10,work,True
10,random,9,1.535,1.608,0.811,9.457,5.1125,2.1861,10,work,True
11,random,0,3.376,14.787,0.854,33.781,5.6268,2.3679,10,gather,True
11,random,1,6.245,18.313,1.139,53.451,5.6268,2.3679,10,gather,True
11,random,2,6.352,19.428,1.106,55.171,5.6268,2.3679,10,work,True
11,random,3,5.219,9.919,0.902,39.287,5.6268,2.3679,10,gather,True
11,random,4,2.397,26.036,0.998,39.526,5.6268,2.3679,10,work,True
11,random,5,5.994,14.127,0.98,47.856,5.6268,2.3679,10,gather,True
11,random,6,3.042,18.831,1.061,35.949,5.6268,2.3679,10,gather,True
11,random,7,4.263,22.656,1.115,46.646,5.6268,2.3679,10,gather,True
11,random,8,2.215,14.357,0.838,26.822,5.6268,2.3679,10,work,True
11,random,9,0.535,3.106,0.811,6.118,5.6268,2.3679,10,work,True
12,random,0,4.174,14.787,0.854,35.809,5.0369,1.9432,9,gather,True
