timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,random,10,0,0,48.772,59.488,3.5814,0,5,5,0.0541,0.0541
1,random,10,0,0,49.264,68.608,3.7179,0,6,4,0.0831,0.0831
2,random,10,0,0,44.608,82.536,3.6622,0,3,7,0.0779,0.0779
3,random,10,0,0,43.611,92.696,4.2611,0,5,5,0.1013,0.1013
4,random,10,0,0,42.043,103.208,4.4131,1,4,6,0.1091,0.1091
5,random,10,0,0,44.514,108.761,4.6736,0,7,3,0.0792,0.0792
6,random,10,0,0,38.743,122.858,4.275,0,2,8,0.1035,0.1035
7,random,10,0,0,38.158,130.757,5.3246,1,5,5,0.137,0.137
8,random,10,0,0,39.903,137.146,5.4575,1,6,4,0.162,0.162
9,random,10,0,0,39.733,145.703,5.0778,1,5,5,0.1713,0.1713
10,random,10,0,0,37.451,155.42,5.1125,1,4,6,0.1871,0.1871
11,random,10,0,0,39.64,161.559,5.6268,0,6,4,0.19,0.19
12,random,9,1,1,43.233,161.5,5.0369,0,7,2,0.1143,0.2028
13,random,9,1,0,43.403,167.022,3.8044,1,5,4,0.1239,0.2115
14,random,9,1,0,42.498,174.621,3.7818,1,4,5,0.1272,0.2145
15,random,9,1,0,43.94,178.673,3.9047,0,6,3,0.1223,0.2101
16,random,9,1,0,45.308,183.127,3.7122,1,6,3,0.1429,0.2287
17,random,9,1,0,45.534,188.868,3.5449,2,5,4,0.1659,0.2493
18,random,9,1,0,47.662,192.771,3.5186,1,6,3,0.1614,0.2452
19,random,9,1,0,44.599,201.195,3.2876,1,3,6,0.178,0.2602
20,random,9,1,0,42.715,207.835,3.6298,1,4,5,0.1732,0.2558
21,random,9,1,0,43.899,213.776,3.8746,0,5,4,0.1639,0.2475
22,random,9,1,0,39.708,221.147,3.7174,1,3,6,0.1707,0.2537
23,random,9,1,0,44.557,223.908,4.3342,0,7,2,0.1551,0.2396
24,random,9,1,0,48.59,226.192,3.635,0,7,2,0.1516,0.2364
25,random,9,1,0,43.197,235.625,3.1953,0,2,7,0.1594,0.2434
26,random,9,1,0,41.535,241.681,3.8091,0,4,5,0.1432,0.2288
27,random,9,1,0,42.175,246.45,4.0439,0,5,4,0.1275,0.2148
28,random,9,1,0,40.88,252.053,3.9504,0,4,5,0.1392,0.2253
29,random,9,1,0,40.959,256.273,4.1437,0,5,4,0.1188,0.2069
