timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,rule,0,5.747,5.0,0.854,25.582,3.5814,1.625,10,gather,True
0,rule,1,6.071,5.0,1.139,26.743,3.5814,1.625,10,gather,True
0,rule,2,6.175,5.0,1.106,27.116,3.5814,1.625,10,gather,True
0,rule,3,5.416,5.0,0.902,24.397,3.5814,1.625,10,gather,True
0,rule,4,5.817,5.0,0.998,25.833,3.5814,1.625,10,gather,True
0,rule,5,5.922,5.0,0.98,26.21,3.5814,1.625,10,gather,True
0,rule,6,5.823,5.0,1.061,25.856,3.5814,1.625,10,gather,True
0,rule,7,6.286,5.0,1.115,27.512,3.5814,1.625,10,gather,True
0,rule,8,5.75,5.0,0.838,25.593,3.5814,1.625,10,gather,True
0,rule,9,5.263,5.0,0.811,23.848,3.5814,1.625,10,gather,True
1,rule,0,6.194,5.0,0.854,22.703,2.8583,1.3466,10,gather,True
1,rule,1,7.153,5.0,1.139,25.445,2.8583,1.3466,10,gather,True
1,rule,2,5.175,7.373,1.106,22.165,2.8583,1.3466,10,work,True
1,rule,3,6.273,5.0,0.902,22.931,2.8583,1.3466,10,gather,True
1,rule,4,4.817,7.248,0.998,21.016,2.8583,1.3466,10,work,True
1,rule,5,6.613,5.0,0.98,23.902,2.8583,1.3466,10,gather,True
1,rule,6,6.908,5.0,1.061,24.746,2.8583,1.3466,10,gather,True
1,rule,7,5.286,7.482,1.115,22.59,2.8583,1.3466,10,work,True
1,rule,8,4.75,6.469,0.838,20.046,2.8583,1.3466,10,work,True
1,rule,9,5.808,5.0,0.811,21.6,2.8583,1.3466,10,gather,True
2,rule,0,5.194,6.711,0.854,21.299,2.8089,1.3272,10,work,True
2,rule,1,8.152,5.0,1.139,27.899,2.8089,1.3272,10,gather,True
2,rule,2,4.175,9.456,1.106,21.183,2.8089,1.3272,10,work,True
2,rule,3,5.273,6.91,0.902,21.722,2.8089,1.3272,10,work,True
2,rule,4,5.61,7.248,0.998,23.006,2.8089,1.3272,10,gather,True
2,rule,5,5.613,7.186,0.98,22.953,2.8089,1.3272,10,work,True
2,rule,6,5.908,7.291,1.061,23.886,2.8089,1.3272,10,work,True
2,rule,7,4.286,9.755,1.115,21.793,2.8089,1.3272,10,work,True
2,rule,8,3.75,7.892,0.838,18.425,2.8089,1.3272,10,work,True
2,rule,9,6.329,5.0,0.811,22.777,2.8089,1.3272,10,gather,True
3,rule,0,5.767,6.711,0.854,24.988,3.1692,1.4676,10,gather,True
3,rule,1,8.895,5.0,1.139,33.192,3.1692,1.4676,10,gather,True
3,rule,2,5.293,9.456,1.106,26.231,3.1692,1.4676,10,gather,True
3,rule,3,5.685,6.91,0.902,24.925,3.1692,1.4676,10,gather,True
3,rule,4,6.178,7.248,0.998,26.827,3.1692,1.4676,10,gather,True
3,rule,5,6.47,7.186,0.98,27.693,3.1692,1.4676,10,gather,True
3,rule,6,7.016,7.291,1.061,29.527,3.1692,1.4676,10,gather,True
3,rule,7,5.466,9.755,1.115,27.078,3.1692,1.4676,10,gather,True
3,rule,8,4.333,7.892,0.838,21.624,3.1692,1.4676,10,gather,True
3,rule,9,6.578,5.0,0.811,25.846,3.1692,1.4676,10,gather,True
4,rule,0,6.231,6.711,0.854,23.119,2.6334,1.2577,10,gather,True
4,rule,1,9.756,5.0,1.139,30.693,2.6334,1.2577,10,gather,True
4,rule,2,6.533,9.456,1.106,26.661,2.6334,1.2577,10,gather,True
4,rule,3,6.511,6.91,0.902,24.056,2.6334,1.2577,10,gather,True
4,rule,4,5.178,9.185,0.998,22.82,2.6334,1.2577,10,work,True
4,rule,5,5.47,8.888,0.98,23.294,2.6334,1.2577,10,work,True
4,rule,6,6.016,9.487,1.061,25.331,2.6334,1.2577,10,work,True
4,rule,7,4.466,11.662,1.115,23.423,2.6334,1.2577,10,work,True
4,rule,8,3.333,9.726,0.838,18.504,2.6334,1.2577,10,work,True
4,rule,9,6.956,5.0,0.811,23.317,2.6334,1.2577,10,gather,True
5,rule,0,5.231,8.357,0.854,22.536,2.7107,1.2884,10,work,True
5,rule,1,8.756,7.037,1.139,30.773,2.7107,1.2884,10,work,True
5,rule,2,7.301,9.456,1.106,29.246,2.7107,1.2884,10,gather,True
