timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,rule,10,0,0,58.271,50.0,3.5814,0,10,0,0.0231,0.0231
1,rule,10,0,0,58.977,58.571,2.8583,0,6,4,0.039,0.039
2,rule,10,0,0,54.291,72.448,2.8089,0,3,7,0.0522,0.0522
3,rule,10,0,0,61.682,72.448,3.1692,0,10,0,0.0575,0.0575
4,rule,10,0,0,60.451,82.024,2.6334,0,5,5,0.0622,0.0622
5,rule,10,0,0,54.061,96.953,2.7107,0,2,8,0.0621,0.0621
6,rule,10,0,0,61.417,96.953,3.189,0,10,0,0.068,0.068
7,rule,10,0,0,56.007,110.624,2.6497,0,3,7,0.0559,0.0559
8,rule,10,0,0,62.271,112.558,3.0279,0,9,1,0.053,0.053
9,rule,10,0,0,59.994,122.056,2.5978,0,5,5,0.0541,0.0541
10,rule,10,0,0,60.097,128.935,2.7405,0,6,4,0.0647,0.0647
11,rule,10,0,0,57.354,138.722,2.7337,0,4,6,0.0772,0.0772
12,rule,10,0,0,51.068,151.744,2.9248,0,2,8,0.0828,0.0828
13,rule,10,0,0,56.85,153.544,3.4699,0,9,1,0.0731,0.0731
14,rule,10,0,0,61.243,156.817,2.9626,0,8,2,0.0633,0.0633
15,rule,10,0,0,60.225,165.012,2.6605,0,5,5,0.0769,0.0769
16,rule,10,0,0,58.744,172.68,2.7253,0,5,5,0.0834,0.0834
17,rule,10,0,0,60.953,176.524,2.825,0,7,3,0.1006,0.1006
18,rule,10,0,0,61.744,182.695,2.6787,0,6,4,0.0987,0.0987
19,rule,10,0,0,63.91,187.107,2.6296,0,7,3,0.1032,0.1032
20,rule,10,0,0,63.489,193.241,2.5034,0,6,4,0.1094,0.1094
21,rule,10,0,0,62.378,200.524,2.527,0,5,5,0.1102,0.1102
22,rule,10,0,0,60.728,207.919,2.5915,0,5,5,0.1018,0.1018
23,rule,10,0,0,61.609,214.285,2.6929,0,6,4,0.0926,0.0926
24,rule,10,0,0,58.829,222.481,2.6379,0,4,6,0.1104,0.1104
25,rule,10,0,0,59.343,228.165,2.8191,0,6,4,0.1201,0.1201
26,rule,10,0,0,61.067,231.873,2.7839,0,7,3,0.1166,0.1166
27,rule,10,0,0,57.952,240.384,2.6715,0,4,6,0.1122,0.1122
28,rule,10,0,0,57.012,247.29,2.8811,0,5,5,0.1196,0.1196
29,rule,10,0,0,57.696,252.656,2.9503,0,6,4,0.1111,0.1111
