timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_social_welfare,0,4.0,6.515,0.854,22.173,3.9145,1.75,10,work,True
0,finetuned_social_welfare,1,4.0,6.738,1.139,22.396,3.9145,1.75,10,work,True
0,finetuned_social_welfare,2,4.0,6.867,1.106,22.525,3.9145,1.75,10,work,True
0,finetuned_social_welfare,3,4.0,6.132,0.902,21.79,3.9145,1.75,10,work,True
0,finetuned_social_welfare,4,4.0,6.525,0.998,22.183,3.9145,1.75,10,work,True
0,finetuned_social_welfare,5,4.0,6.649,0.98,22.307,3.9145,1.75,10,work,True
0,finetuned_social_welfare,6,4.0,6.504,1.061,22.162,3.9145,1.75,10,work,True
0,finetuned_social_welfare,7,4.0,6.983,1.115,22.641,3.9145,1.75,10,work,True
0,finetuned_social_welfare,8,4.0,6.526,0.838,22.184,3.9145,1.75,10,work,True
0,finetuned_social_welfare,9,4.0,6.006,0.811,21.664,3.9145,1.75,10,work,True
1,finetuned_social_welfare,0,3.0,7.555,0.854,24.14,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,1,3.0,8.479,1.139,25.064,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,2,3.0,8.765,1.106,25.35,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,3,3.0,7.445,0.902,24.03,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,4,3.0,7.886,0.998,24.472,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,5,3.0,8.088,0.98,24.674,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,6,3.0,7.859,1.061,24.445,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,7,3.0,8.511,1.115,25.097,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,8,3.0,7.762,0.838,24.347,5.5284,2.3333,10,work,True
1,finetuned_social_welfare,9,3.0,7.245,0.811,23.83,5.5284,2.3333,10,work,True
2,finetuned_social_welfare,0,3.188,7.555,0.854,36.224,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,1,3.633,8.479,1.139,41.149,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,2,3.574,8.765,1.106,40.904,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,3,3.388,7.445,0.902,37.918,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,4,3.445,7.886,0.998,38.869,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,5,3.268,8.088,0.98,37.48,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,6,3.845,7.859,1.061,42.44,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,7,3.776,8.511,1.115,42.467,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,8,3.388,7.762,0.838,38.235,8.9931,3.5,10,gather,True
2,finetuned_social_welfare,9,3.096,7.245,0.811,35.084,8.9931,3.5,10,gather,True
3,finetuned_social_welfare,0,2.188,9.082,0.854,24.429,7.0145,2.8454,10,work,True
3,finetuned_social_welfare,1,4.558,8.479,1.139,40.453,7.0145,2.8454,10,gather,True
3,finetuned_social_welfare,2,4.056,8.765,1.106,37.213,7.0145,2.8454,10,gather,True
3,finetuned_social_welfare,3,2.388,8.7,0.902,25.454,7.0145,2.8454,10,work,True
3,finetuned_social_welfare,4,2.445,9.476,0.998,26.627,7.0145,2.8454,10,work,True
3,finetuned_social_welfare,5,3.898,8.088,0.98,35.431,7.0145,2.8454,10,gather,True
3,finetuned_social_welfare,6,4.675,7.859,1.061,40.653,7.0145,2.8454,10,gather,True
3,finetuned_social_welfare,7,4.42,8.511,1.115,39.516,7.0145,2.8454,10,gather,True
3,finetuned_social_welfare,8,2.388,9.174,0.838,25.928,7.0145,2.8454,10,work,True
3,finetuned_social_welfare,9,2.096,8.548,0.811,23.247,7.0145,2.8454,10,work,True
4,finetuned_social_welfare,0,2.458,9.082,0.854,27.664,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,1,5.264,8.479,1.139,48.276,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,2,4.907,8.765,1.106,45.86,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,3,3.033,8.7,0.902,31.629,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,4,3.047,9.476,0.998,32.51,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,5,4.418,8.088,0.98,41.487,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,6,4.975,7.859,1.061,45.47,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,7,4.924,8.511,1.115,45.735,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,8,2.902,9.174,0.838,31.111,7.5601,3.0286,10,gather,True
4,finetuned_social_welfare,9,2.365,8.548,0.811,26.429,7.5601,3.0286,10,gather,True
5,finetuned_social_welfare,0,1.458,10.147,0.854,18.795,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,1,4.264,10.167,1.139,35.458,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,2,3.907,10.473,1.106,33.646,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,3,2.033,10.1,0.902,22.158,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,4,2.047,10.841,0.998,22.982,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,5,3.418,9.498,0.98,29.77,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,6,3.975,9.431,1.061,33.007,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,7,3.924,10.282,1.115,33.555,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,8,1.902,10.391,0.838,21.67,5.9313,2.4742,10,work,True
5,finetuned_social_welfare,9,1.365,9.676,0.811,17.773,5.9313,2.4742,10,work,True
6,finetuned_social_welfare,0,1.458,1.348,0.854,15.927,10.0,3.8268,10,work,True
6,finetuned_social_welfare,1,3.264,11.54,1.139,44.181,10.0,3.8268,10,work,True
6,finetuned_social_welfare,2,2.907,11.799,1.106,40.866,10.0,3.8268,10,work,True
6,finetuned_social_welfare,3,1.033,11.477,0.902,21.807,10.0,3.8268,10,work,True
6,finetuned_social_welfare,4,1.047,12.469,0.998,22.938,10.0,3.8268,10,work,True
6,finetuned_social_welfare,5,2.418,10.947,0.98,35.125,10.0,3.8268,10,work,True
6,finetuned_social_welfare,6,3.507,19.431,1.061,54.503,10.0,3.8268,10,gather,True
6,finetuned_social_welfare,7,2.924,11.689,1.115,40.926,10.0,3.8268,10,work,True
6,finetuned_social_welfare,8,0.902,11.569,0.838,20.586,10.0,3.8268,10,work,True
6,finetuned_social_welfare,9,2.009,9.676,0.811,29.769,10.0,3.8268,10,gather,True
7,finetuned_social_welfare,0,0.458,2.79,0.854,7.369,10.0,5.4467,9,work,True
7,finetuned_social_welfare,1,2.264,13.279,1.139,35.92,10.0,5.4467,9,work,True
