timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_social_welfare,10,0,0,40.0,65.445,3.9145,0,0,10,0.007,0.007
1,finetuned_social_welfare,10,0,0,30.0,79.595,5.5284,0,0,10,0.0109,0.0109
2,finetuned_social_welfare,10,0,0,34.601,79.595,8.9931,0,10,0,0.0353,0.0353
3,finetuned_social_welfare,10,0,0,33.113,86.681,7.0145,0,5,5,0.1197,0.1197
4,finetuned_social_welfare,10,0,0,38.292,86.681,7.5601,0,10,0,0.119,0.119
5,finetuned_social_welfare,10,0,0,28.292,101.005,5.9313,0,0,10,0.1346,0.1346
6,finetuned_social_welfare,10,0,0,21.468,111.944,10.0,1,2,8,0.2042,0.2042
7,finetuned_social_welfare,9,1,1,16.422,108.955,10.0,0,3,6,0.1578,0.242
8,finetuned_social_welfare,8,2,1,22.081,106.165,10.0,0,8,0,0.0844,0.2675
9,finetuned_social_welfare,8,2,0,15.36,115.583,10.0,0,1,7,0.1091,0.2873
10,finetuned_social_welfare,8,2,0,20.191,115.583,10.0,0,8,0,0.0884,0.2707
11,finetuned_social_welfare,8,2,0,13.644,125.199,10.0,0,1,7,0.1344,0.3075
12,finetuned_social_welfare,6,4,2,15.376,96.186,10.0,0,6,0,0.073,0.4438
13,finetuned_social_welfare,6,4,0,18.668,96.186,10.0,0,6,0,0.0536,0.4322
14,finetuned_social_welfare,6,4,0,22.051,96.186,8.4275,0,6,0,0.0467,0.428
15,finetuned_social_welfare,6,4,0,24.99,96.186,6.3436,0,6,0,0.0472,0.4283
16,finetuned_social_welfare,6,4,0,27.818,96.186,5.1843,0,6,0,0.0648,0.4389
17,finetuned_social_welfare,6,4,0,30.84,96.186,4.3888,0,6,0,0.0724,0.4434
18,finetuned_social_welfare,6,4,0,33.864,96.186,3.7562,0,6,0,0.0741,0.4444
19,finetuned_social_welfare,6,4,0,36.113,96.186,3.2724,0,6,0,0.0817,0.449
20,finetuned_social_welfare,6,4,0,39.15,96.186,2.9814,0,6,0,0.0855,0.4513
21,finetuned_social_welfare,6,4,0,38.116,99.048,2.6567,0,4,2,0.0852,0.4511
22,finetuned_social_welfare,6,4,0,35.168,104.417,2.7597,0,2,4,0.0816,0.449
23,finetuned_social_welfare,6,4,0,37.596,104.417,3.0977,0,6,0,0.0796,0.4477
24,finetuned_social_welfare,6,4,0,36.666,106.898,2.8143,0,4,2,0.0686,0.4411
25,finetuned_social_welfare,6,4,0,37.245,108.337,2.917,0,5,1,0.0697,0.4418
26,finetuned_social_welfare,6,4,0,38.506,109.755,2.8523,0,5,1,0.0701,0.442
27,finetuned_social_welfare,6,4,0,35.474,115.34,2.72,0,2,4,0.0856,0.4513
28,finetuned_social_welfare,6,4,0,37.656,115.34,3.0592,0,6,0,0.0849,0.451
29,finetuned_social_welfare,6,4,0,38.492,116.717,2.8079,0,5,1,0.0842,0.4505
