timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_survival,0,5.388,5.0,0.854,26.093,3.9145,1.75,10,gather,True
0,finetuned_survival,1,5.593,5.0,1.139,26.892,3.9145,1.75,10,gather,True
0,finetuned_survival,2,5.711,5.0,1.106,27.355,3.9145,1.75,10,gather,True
0,finetuned_survival,3,5.037,5.0,0.902,24.718,3.9145,1.75,10,gather,True
0,finetuned_survival,4,5.398,5.0,0.998,26.13,3.9145,1.75,10,gather,True
0,finetuned_survival,5,5.511,5.0,0.98,26.572,3.9145,1.75,10,gather,True
0,finetuned_survival,6,5.378,5.0,1.061,26.052,3.9145,1.75,10,gather,True
0,finetuned_survival,7,5.817,5.0,1.115,27.772,3.9145,1.75,10,gather,True
0,finetuned_survival,8,5.398,5.0,0.838,26.132,3.9145,1.75,10,gather,True
0,finetuned_survival,9,4.922,5.0,0.811,24.267,3.9145,1.75,10,gather,True
1,finetuned_survival,0,5.35,5.0,0.854,23.602,3.4769,1.5854,10,gather,True
1,finetuned_survival,1,6.193,5.0,1.139,26.534,3.4769,1.5854,10,gather,True
1,finetuned_survival,2,6.45,5.0,1.106,27.426,3.4769,1.5854,10,gather,True
1,finetuned_survival,3,5.263,5.0,0.902,23.3,3.4769,1.5854,10,gather,True
1,finetuned_survival,4,5.656,5.0,0.998,24.666,3.4769,1.5854,10,gather,True
1,finetuned_survival,5,5.838,5.0,0.98,25.297,3.4769,1.5854,10,gather,True
1,finetuned_survival,6,5.632,5.0,1.061,24.582,3.4769,1.5854,10,gather,True
1,finetuned_survival,7,6.213,5.0,1.115,26.604,3.4769,1.5854,10,gather,True
1,finetuned_survival,8,5.541,5.0,0.838,24.265,3.4769,1.5854,10,gather,True
1,finetuned_survival,9,5.083,5.0,0.811,22.672,3.4769,1.5854,10,gather,True
2,finetuned_survival,0,5.417,5.0,0.854,22.376,3.2077,1.4824,10,gather,True
2,finetuned_survival,1,6.6,5.0,1.139,26.169,3.2077,1.4824,10,gather,True
2,finetuned_survival,2,6.788,5.0,1.106,26.773,3.2077,1.4824,10,gather,True
2,finetuned_survival,3,5.515,5.0,0.902,22.691,3.2077,1.4824,10,gather,True
2,finetuned_survival,4,5.934,5.0,0.998,24.036,3.2077,1.4824,10,gather,True
2,finetuned_survival,5,5.949,5.0,0.98,24.084,3.2077,1.4824,10,gather,True
2,finetuned_survival,6,6.266,5.0,1.061,25.1,3.2077,1.4824,10,gather,True
2,finetuned_survival,7,6.741,5.0,1.115,26.624,3.2077,1.4824,10,gather,True
2,finetuned_survival,8,5.776,5.0,0.838,23.528,3.2077,1.4824,10,gather,True
2,finetuned_survival,9,5.079,5.0,0.811,21.293,3.2077,1.4824,10,gather,True
3,finetuned_survival,0,5.855,5.0,0.854,22.508,2.9902,1.3982,10,gather,True
3,finetuned_survival,1,7.27,5.0,1.139,26.738,2.9902,1.3982,10,gather,True
3,finetuned_survival,2,7.057,5.0,1.106,26.102,2.9902,1.3982,10,gather,True
3,finetuned_survival,3,5.689,5.0,0.902,22.012,2.9902,1.3982,10,gather,True
3,finetuned_survival,4,6.403,5.0,0.998,24.146,2.9902,1.3982,10,gather,True
3,finetuned_survival,5,6.387,5.0,0.98,24.098,2.9902,1.3982,10,gather,True
3,finetuned_survival,6,6.896,5.0,1.061,25.621,2.9902,1.3982,10,gather,True
3,finetuned_survival,7,7.166,5.0,1.115,26.428,2.9902,1.3982,10,gather,True
3,finetuned_survival,8,6.088,5.0,0.838,23.205,2.9902,1.3982,10,gather,True
3,finetuned_survival,9,5.319,5.0,0.811,20.905,2.9902,1.3982,10,gather,True
4,finetuned_survival,0,5.929,5.0,0.854,21.145,2.7228,1.2932,10,gather,True
4,finetuned_survival,1,7.76,5.0,1.139,26.128,2.7228,1.2932,10,gather,True
4,finetuned_survival,2,7.655,5.0,1.106,25.843,2.7228,1.2932,10,gather,True
4,finetuned_survival,3,6.104,5.0,0.902,21.62,2.7228,1.2932,10,gather,True
4,finetuned_survival,4,6.736,5.0,0.998,23.34,2.7228,1.2932,10,gather,True
4,finetuned_survival,5,6.736,5.0,0.98,23.34,2.7228,1.2932,10,gather,True
4,finetuned_survival,6,7.061,5.0,1.061,24.225,2.7228,1.2932,10,gather,True
4,finetuned_survival,7,7.478,5.0,1.115,25.362,2.7228,1.2932,10,gather,True
4,finetuned_survival,8,6.364,5.0,0.838,22.329,2.7228,1.2932,10,gather,True
4,finetuned_survival,9,5.417,5.0,0.811,19.751,2.7228,1.2932,10,gather,True
5,finetuned_survival,0,5.937,5.0,0.854,20.118,2.5463,1.2229,10,gather,True
5,finetuned_survival,1,8.194,5.0,1.139,25.864,2.5463,1.2229,10,gather,True
5,finetuned_survival,2,8.124,5.0,1.106,25.685,2.5463,1.2229,10,gather,True
5,finetuned_survival,3,6.408,5.0,0.902,21.316,2.5463,1.2229,10,gather,True
5,finetuned_survival,4,6.985,5.0,0.998,22.787,2.5463,1.2229,10,gather,True
5,finetuned_survival,5,6.991,5.0,0.98,22.801,2.5463,1.2229,10,gather,True
5,finetuned_survival,6,7.43,5.0,1.061,23.92,2.5463,1.2229,10,gather,True
5,finetuned_survival,7,8.007,5.0,1.115,25.388,2.5463,1.2229,10,gather,True
5,finetuned_survival,8,6.492,5.0,0.838,21.532,2.5463,1.2229,10,gather,True
5,finetuned_survival,9,5.5,5.0,0.811,19.005,2.5463,1.2229,10,gather,True
6,finetuned_survival,0,6.097,5.0,0.854,19.652,2.4031,1.1653,10,gather,True
6,finetuned_survival,1,8.372,5.0,1.139,25.119,2.4031,1.1653,10,gather,True
6,finetuned_survival,2,8.272,5.0,1.106,24.877,2.4031,1.1653,10,gather,True
6,finetuned_survival,3,6.705,5.0,0.902,21.113,2.4031,1.1653,10,gather,True
6,finetuned_survival,4,7.496,5.0,0.998,23.015,2.4031,1.1653,10,gather,True
6,finetuned_survival,5,7.3,5.0,0.98,22.542,2.4031,1.1653,10,gather,True
6,finetuned_survival,6,7.722,5.0,1.061,23.557,2.4031,1.1653,10,gather,True
6,finetuned_survival,7,8.229,5.0,1.115,24.776,2.4031,1.1653,10,gather,True
6,finetuned_survival,8,6.604,5.0,0.838,20.871,2.4031,1.1653,10,gather,True
6,finetuned_survival,9,5.868,5.0,0.811,19.102,2.4031,1.1653,10,gather,True
7,finetuned_survival,0,6.382,5.0,0.854,19.576,2.2841,1.117,10,gather,True
7,finetuned_survival,1,7.372,6.797,1.139,23.634,2.2841,1.117,10,work,True
7,finetuned_survival,2,8.758,5.0,1.106,25.003,2.2841,1.117,10,gather,True
7,finetuned_survival,3,6.764,5.0,0.902,20.45,2.2841,1.117,10,gather,True
7,finetuned_survival,4,7.758,5.0,0.998,22.721,2.2841,1.117,10,gather,True
7,finetuned_survival,5,7.749,5.0,0.98,22.699,2.2841,1.117,10,gather,True
7,finetuned_survival,6,8.075,5.0,1.061,23.443,2.2841,1.117,10,gather,True
7,finetuned_survival,7,7.229,6.716,1.115,23.228,2.2841,1.117,10,work,True
7,finetuned_survival,8,6.602,5.0,0.838,20.079,2.2841,1.117,10,gather,True
7,finetuned_survival,9,6.002,5.0,0.811,18.709,2.2841,1.117,10,gather,True
8,finetuned_survival,0,6.736,5.0,0.854,20.378,2.283,1.1166,10,gather,True
8,finetuned_survival,1,7.594,6.797,1.139,24.133,2.283,1.1166,10,gather,True
8,finetuned_survival,2,9.171,5.0,1.106,25.938,2.283,1.1166,10,gather,True
8,finetuned_survival,3,7.092,5.0,0.902,21.192,2.283,1.1166,10,gather,True
8,finetuned_survival,4,8.166,5.0,0.998,23.642,2.283,1.1166,10,gather,True
8,finetuned_survival,5,8.07,5.0,0.98,23.424,2.283,1.1166,10,gather,True
8,finetuned_survival,6,8.5,5.0,1.061,24.406,2.283,1.1166,10,gather,True
8,finetuned_survival,7,7.662,6.716,1.115,24.207,2.283,1.1166,10,gather,True
8,finetuned_survival,8,6.735,5.0,0.838,20.376,2.283,1.1166,10,gather,True
8,finetuned_survival,9,6.07,5.0,0.811,18.858,2.283,1.1166,10,gather,True
9,finetuned_survival,0,6.649,5.0,0.854,19.324,2.1543,1.0639,10,gather,True
9,finetuned_survival,1,8.183,6.797,1.139,24.425,2.1543,1.0639,10,gather,True
9,finetuned_survival,2,8.171,6.761,1.106,24.364,2.1543,1.0639,10,work,True
9,finetuned_survival,3,6.092,6.241,0.902,19.365,2.1543,1.0639,10,work,True
9,finetuned_survival,4,8.378,5.0,0.998,23.049,2.1543,1.0639,10,gather,True
