timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_survival,10,0,0,54.153,50.0,3.9145,0,10,0,0.0212,0.0212
1,finetuned_survival,10,0,0,57.22,50.0,3.4769,0,10,0,0.0336,0.0336
2,finetuned_survival,10,0,0,60.065,50.0,3.2077,0,10,0,0.0417,0.0417
3,finetuned_survival,10,0,0,64.13,50.0,2.9902,0,10,0,0.045,0.045
4,finetuned_survival,10,0,0,67.24,50.0,2.7228,0,10,0,0.0492,0.0492
5,finetuned_survival,10,0,0,70.068,50.0,2.5463,0,10,0,0.0561,0.0561
6,finetuned_survival,10,0,0,72.666,50.0,2.4031,0,10,0,0.0526,0.0526
7,finetuned_survival,10,0,0,72.691,53.513,2.2841,0,8,2,0.0502,0.0502
8,finetuned_survival,10,0,0,75.796,53.513,2.283,0,10,0,0.053,0.053
9,finetuned_survival,10,0,0,74.296,58.088,2.1543,0,7,3,0.0559,0.0559
10,finetuned_survival,10,0,0,74.354,61.13,2.2148,0,8,2,0.0619,0.0619
11,finetuned_survival,10,0,0,76.017,61.13,2.2124,0,10,0,0.0691,0.0691
12,finetuned_survival,10,0,0,76.511,62.375,2.1457,0,9,1,0.074,0.074
13,finetuned_survival,10,0,0,77.074,63.814,2.1265,0,9,1,0.0793,0.0793
14,finetuned_survival,10,0,0,78.824,63.814,2.1052,0,10,0,0.0795,0.0795
15,finetuned_survival,10,0,0,75.694,70.301,2.0411,0,6,4,0.0744,0.0744
16,finetuned_survival,10,0,0,78.176,70.301,2.1583,0,10,0,0.0788,0.0788
17,finetuned_survival,10,0,0,78.005,74.012,2.0644,0,8,2,0.0744,0.0744
18,finetuned_survival,10,0,0,79.558,74.012,2.0706,0,10,0,0.0765,0.0765
19,finetuned_survival,10,0,0,81.436,74.012,2.0153,0,10,0,0.0845,0.0845
20,finetuned_survival,10,0,0,81.58,77.147,1.9518,0,8,2,0.0873,0.0873
21,finetuned_survival,10,0,0,81.764,78.832,1.9471,0,9,1,0.0901,0.0901
22,finetuned_survival,10,0,0,83.582,78.832,1.9411,0,10,0,0.0902,0.0902
23,finetuned_survival,10,0,0,84.049,80.36,1.8837,0,9,1,0.0918,0.0918
24,finetuned_survival,10,0,0,85.899,80.36,1.8695,0,10,0,0.0931,0.0931
25,finetuned_survival,10,0,0,85.974,81.594,1.8149,0,9,1,0.0954,0.0954
26,finetuned_survival,10,0,0,87.441,81.594,1.8128,0,10,0,0.0976,0.0976
27,finetuned_survival,10,0,0,88.732,81.594,1.7717,0,10,0,0.0955,0.0955
28,finetuned_survival,10,0,0,90.301,81.594,1.7369,0,10,0,0.0946,0.0946
29,finetuned_survival,10,0,0,91.503,81.594,1.6962,0,10,0,0.094,0.094
