timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,finetuned_wealth_maximizing,0,4.0,6.515,0.854,22.173,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,1,4.0,6.738,1.139,22.396,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,2,4.0,6.867,1.106,22.525,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,3,4.0,6.132,0.902,21.79,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,4,4.0,6.525,0.998,22.183,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,5,4.0,6.649,0.98,22.307,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,6,4.0,6.504,1.061,22.162,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,7,4.0,6.983,1.115,22.641,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,8,4.0,6.526,0.838,22.184,3.9145,1.75,10,work,True
0,finetuned_wealth_maximizing,9,4.0,6.006,0.811,21.664,3.9145,1.75,10,work,True
1,finetuned_wealth_maximizing,0,3.0,7.555,0.854,24.14,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,1,3.0,8.479,1.139,25.064,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,2,3.0,8.765,1.106,25.35,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,3,3.0,7.445,0.902,24.03,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,4,3.0,7.886,0.998,24.472,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,5,3.0,8.088,0.98,24.674,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,6,3.0,7.859,1.061,24.445,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,7,3.0,8.511,1.115,25.097,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,8,3.0,7.762,0.838,24.347,5.5284,2.3333,10,work,True
1,finetuned_wealth_maximizing,9,3.0,7.245,0.811,23.83,5.5284,2.3333,10,work,True
2,finetuned_wealth_maximizing,0,2.0,8.684,0.854,26.67,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,1,2.0,10.003,1.139,27.989,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,2,2.0,10.225,1.106,28.212,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,3,2.0,8.767,0.902,26.753,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,4,2.0,9.251,0.998,27.237,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,5,2.0,9.281,0.98,27.267,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,6,2.0,9.602,1.061,27.589,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,7,2.0,10.168,1.115,28.154,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,8,2.0,9.076,0.838,27.062,8.9931,3.5,10,work,True
2,finetuned_wealth_maximizing,9,2.0,8.292,0.811,26.278,8.9931,3.5,10,work,True
3,finetuned_wealth_maximizing,0,1.0,10.178,0.854,20.178,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,1,1.0,11.796,1.139,21.796,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,2,1.0,11.596,1.106,21.596,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,3,1.0,9.99,0.902,19.99,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,4,1.0,10.798,0.998,20.798,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,5,1.0,10.796,0.98,20.796,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,6,1.0,11.337,1.061,21.337,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,7,1.0,11.704,1.115,21.704,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,8,1.0,10.452,0.838,20.452,10.0,7.0,10,work,True
3,finetuned_wealth_maximizing,9,1.0,9.569,0.811,19.569,10.0,7.0,10,work,True
