timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,finetuned_wealth_maximizing,10,0,0,40.0,65.445,3.9145,0,0,10,0.007,0.007
1,finetuned_wealth_maximizing,10,0,0,30.0,79.595,5.5284,0,0,10,0.0109,0.0109
2,finetuned_wealth_maximizing,10,0,0,20.0,93.348,8.9931,0,0,10,0.013,0.013
3,finetuned_wealth_maximizing,10,0,0,10.0,108.216,10.0,0,0,10,0.0201,0.0201
4,finetuned_wealth_maximizing,0,10,10,0,0,10.0,0,0,0,0.0,-0.0
5,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
6,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
7,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
8,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
9,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
10,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
11,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
12,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
13,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
14,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
15,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
16,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
17,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
18,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
19,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
20,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
21,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
22,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
23,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
24,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
25,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
26,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
27,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
28,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
29,finetuned_wealth_maximizing,0,10,0,0,0,10.0,0,0,0,0.0,-0.0
