timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,llm_survival,0,5.388,5.0,0.854,26.093,3.9145,1.75,10,gather,True
0,llm_survival,1,5.593,5.0,1.139,26.892,3.9145,1.75,10,gather,True
0,llm_survival,2,5.711,5.0,1.106,27.355,3.9145,1.75,10,gather,True
0,llm_survival,3,4.0,6.132,0.902,21.79,3.9145,1.75,10,work,True
0,llm_survival,4,4.0,6.525,0.998,22.183,3.9145,1.75,10,work,True
0,llm_survival,5,5.511,5.0,0.98,26.572,3.9145,1.75,10,gather,True
0,llm_survival,6,5.378,5.0,1.061,26.052,3.9145,1.75,10,gather,True
0,llm_survival,7,5.817,5.0,1.115,27.772,3.9145,1.75,10,gather,True
0,llm_survival,8,5.398,5.0,0.838,26.132,3.9145,1.75,10,gather,True
0,llm_survival,9,4.922,5.0,0.811,24.267,3.9145,1.75,10,gather,True
1,llm_survival,0,4.388,6.069,0.854,22.402,3.7218,1.6779,10,work,True
1,llm_survival,1,4.593,6.798,1.139,23.89,3.7218,1.6779,10,work,True
1,llm_survival,2,4.711,6.964,1.106,24.497,3.7218,1.6779,10,work,True
1,llm_survival,3,3.0,7.445,0.902,18.61,3.7218,1.6779,10,work,True
1,llm_survival,4,3.0,7.886,0.998,19.052,3.7218,1.6779,10,work,True
1,llm_survival,5,5.838,5.0,0.98,26.727,3.7218,1.6779,10,gather,True
1,llm_survival,6,4.378,6.394,1.061,22.688,3.7218,1.6779,10,work,True
1,llm_survival,7,4.817,6.585,1.115,24.515,3.7218,1.6779,10,work,True
1,llm_survival,8,4.398,6.271,0.838,22.641,3.7218,1.6779,10,work,True
1,llm_survival,9,3.922,6.262,0.811,20.859,3.7218,1.6779,10,work,True
2,llm_survival,0,3.388,7.23,0.854,23.911,4.9229,2.1183,10,work,True
2,llm_survival,1,5.112,6.798,1.139,31.965,4.9229,2.1183,10,gather,True
2,llm_survival,2,5.168,6.964,1.106,32.404,4.9229,2.1183,10,gather,True
2,llm_survival,3,2.0,8.767,0.902,18.612,4.9229,2.1183,10,work,True
2,llm_survival,4,2.0,9.251,0.998,19.096,4.9229,2.1183,10,work,True
2,llm_survival,5,5.949,5.0,0.98,34.288,4.9229,2.1183,10,gather,True
2,llm_survival,6,5.113,6.394,1.061,31.562,4.9229,2.1183,10,gather,True
2,llm_survival,7,5.453,6.585,1.115,33.429,4.9229,2.1183,10,gather,True
2,llm_survival,8,4.702,6.271,0.838,29.42,4.9229,2.1183,10,gather,True
2,llm_survival,9,3.974,6.262,0.811,25.824,4.9229,2.1183,10,gather,True
3,llm_survival,0,2.388,8.766,0.854,20.604,4.9563,2.1303,10,work,True
3,llm_survival,1,4.112,8.706,1.139,29.088,4.9563,2.1303,10,work,True
3,llm_survival,2,5.544,6.964,1.106,34.443,4.9563,2.1303,10,gather,True
3,llm_survival,3,1.0,9.99,0.902,14.947,4.9563,2.1303,10,work,True
3,llm_survival,4,1.0,10.798,0.998,15.755,4.9563,2.1303,10,work,True
3,llm_survival,5,6.387,5.0,0.98,36.656,4.9563,2.1303,10,gather,True
3,llm_survival,6,5.838,6.394,1.061,35.328,4.9563,2.1303,10,gather,True
3,llm_survival,7,5.973,6.585,1.115,36.189,4.9563,2.1303,10,gather,True
3,llm_survival,8,5.084,6.271,0.838,31.469,4.9563,2.1303,10,gather,True
3,llm_survival,9,4.279,6.262,0.811,27.47,4.9563,2.1303,10,gather,True
4,llm_survival,0,1.388,10.051,0.854,17.261,5.1932,2.2148,10,work,True
