timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,random,0,4.0,6.069,0.854,21.727,3.9145,1.75,10,work,True
0,random,1,4.0,6.798,1.139,22.456,3.9145,1.75,10,work,True
0,random,2,5.8,5.0,1.106,27.704,3.9145,1.75,10,gather,True
0,random,3,4.0,6.34,0.902,21.998,3.9145,1.75,10,work,True
0,random,4,4.0,6.4,0.998,22.058,3.9145,1.75,10,work,True
0,random,5,5.36,5.0,0.98,25.981,3.9145,1.75,10,gather,True
0,random,6,5.277,5.0,1.061,25.658,3.9145,1.75,10,gather,True
0,random,7,4.0,6.585,1.115,22.243,3.9145,1.75,10,work,True
0,random,8,5.165,5.0,0.838,25.217,3.9145,1.75,10,gather,True
0,random,9,5.156,5.0,0.811,25.185,3.9145,1.75,10,gather,True
1,random,0,4.346,6.069,0.854,24.896,4.3323,1.9043,10,gather,True
1,random,1,3.0,8.634,1.139,21.631,4.3323,1.9043,10,work,True
1,random,2,6.22,5.0,1.106,31.946,4.3323,1.9043,10,gather,True
1,random,3,4.478,6.34,0.902,25.74,4.3323,1.9043,10,gather,True
1,random,4,3.0,8.128,0.998,21.125,4.3323,1.9043,10,work,True
1,random,5,4.36,6.787,0.98,25.676,4.3323,1.9043,10,work,True
1,random,6,5.772,5.0,1.061,30.007,4.3323,1.9043,10,gather,True
1,random,7,3.0,8.523,1.115,21.52,4.3323,1.9043,10,work,True
1,random,8,5.355,5.0,0.838,28.2,4.3323,1.9043,10,gather,True
1,random,9,5.512,5.0,0.811,28.878,4.3323,1.9043,10,gather,True
2,random,0,4.688,6.069,0.854,27.58,4.5882,1.9976,10,gather,True
2,random,1,2.0,10.223,1.139,19.399,4.5882,1.9976,10,work,True
2,random,2,5.22,6.933,1.106,30.883,4.5882,1.9976,10,work,True
2,random,3,3.478,7.86,0.902,23.817,4.5882,1.9976,10,work,True
2,random,4,2.0,9.718,0.998,18.895,4.5882,1.9976,10,work,True
2,random,5,4.587,6.787,0.98,27.833,4.5882,1.9976,10,gather,True
2,random,6,4.772,6.743,1.061,28.639,4.5882,1.9976,10,work,True
2,random,7,3.528,8.523,1.115,24.711,4.5882,1.9976,10,gather,True
2,random,8,4.355,6.12,0.838,26.103,4.5882,1.9976,10,work,True
2,random,9,4.512,6.451,0.811,27.151,4.5882,1.9976,10,work,True
3,random,0,3.688,7.634,0.854,28.748,5.7248,2.4022,10,work,True
3,random,1,1.0,11.964,1.139,17.689,5.7248,2.4022,10,work,True
3,random,2,5.802,6.933,1.106,40.147,5.7248,2.4022,10,gather,True
3,random,3,2.478,9.38,0.902,23.565,5.7248,2.4022,10,work,True
3,random,4,2.475,9.718,0.998,23.886,5.7248,2.4022,10,gather,True
