timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,random,10,0,0,46.758,57.192,3.9145,0,5,5,0.0463,0.0463
1,random,10,0,0,45.042,64.481,4.3323,0,6,4,0.0782,0.0782
2,random,10,0,0,39.14,75.428,4.5882,0,3,7,0.0793,0.0793
3,random,10,0,0,36.221,83.58,5.7248,0,5,5,0.1113,0.1113
4,random,10,0,0,32.936,91.88,6.4977,1,4,6,0.1312,0.1312
5,random,10,0,0,32.665,96.165,7.63,0,7,3,0.0947,0.0947
6,random,10,0,0,26.239,107.354,7.7395,1,2,8,0.1431,0.1431
7,random,10,0,0,22.344,115.836,10.0,1,4,6,0.1688,0.1688
8,random,10,0,0,23.399,119.891,10.0,0,7,3,0.2119,0.2119
9,random,9,1,1,20.662,124.152,10.0,2,4,5,0.2335,0.3101
10,random,9,1,0,21.477,128.373,10.0,0,6,3,0.2756,0.348
11,random,7,3,2,19.991,121.897,10.0,0,4,3,0.1736,0.4215
12,random,7,3,0,15.436,127.871,9.838,0,2,5,0.2023,0.4416
13,random,6,4,1,17.257,115.856,10.0,0,5,1,0.1377,0.4826
14,random,6,4,0,14.426,120.315,9.7099,0,2,4,0.1879,0.5127
15,random,6,4,0,11.481,125.228,10.0,1,2,4,0.2715,0.5629
16,random,4,6,2,9.33,94.083,10.0,0,2,2,0.262,0.7048
17,random,3,7,1,7.081,90.492,10.0,1,1,2,0.1191,0.7357
18,random,3,7,0,5.793,91.915,10.0,0,1,2,0.0549,0.7165
19,random,3,7,0,7.27,91.915,10.0,0,3,0,0.0478,0.7143
20,random,3,7,0,9.438,91.915,10.0,0,3,0,0.0432,0.713
21,random,3,7,0,7.989,93.742,8.2633,0,1,2,0.1004,0.7301
22,random,3,7,0,10.344,93.742,10.0,0,3,0,0.0712,0.7214
23,random,3,7,0,11.042,94.359,7.0565,0,2,1,0.0926,0.7278
24,random,3,7,0,10.847,95.034,6.3275,1,2,1,0.1195,0.7358
25,random,3,7,0,9.493,96.81,6.5165,0,1,2,0.0842,0.7253
26,random,3,7,0,7.881,98.523,8.1798,0,1,2,0.076,0.7228
27,random,3,7,0,8.156,99.455,10.0,1,2,1,0.1379,0.7414
28,random,3,7,0,5.156,101.724,10.0,0,0,3,0.1592,0.7477
29,random,2,8,1,4.038,78.387,10.0,0,1,1,0.1255,0.8251
