timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
0,rule,0,5.388,5.0,0.854,26.093,3.9145,1.75,10,gather,True
0,rule,1,5.593,5.0,1.139,26.892,3.9145,1.75,10,gather,True
0,rule,2,5.711,5.0,1.106,27.355,3.9145,1.75,10,gather,True
0,rule,3,5.037,5.0,0.902,24.718,3.9145,1.75,10,gather,True
0,rule,4,5.398,5.0,0.998,26.13,3.9145,1.75,10,gather,True
0,rule,5,5.511,5.0,0.98,26.572,3.9145,1.75,10,gather,True
0,rule,6,5.378,5.0,1.061,26.052,3.9145,1.75,10,gather,True
0,rule,7,5.817,5.0,1.115,27.772,3.9145,1.75,10,gather,True
0,rule,8,5.398,5.0,0.838,26.132,3.9145,1.75,10,gather,True
0,rule,9,4.922,5.0,0.811,24.267,3.9145,1.75,10,gather,True
1,rule,0,5.35,5.0,0.854,23.602,3.4769,1.5854,10,gather,True
1,rule,1,6.193,5.0,1.139,26.534,3.4769,1.5854,10,gather,True
1,rule,2,6.45,5.0,1.106,27.426,3.4769,1.5854,10,gather,True
1,rule,3,5.263,5.0,0.902,23.3,3.4769,1.5854,10,gather,True
1,rule,4,5.656,5.0,0.998,24.666,3.4769,1.5854,10,gather,True
1,rule,5,5.838,5.0,0.98,25.297,3.4769,1.5854,10,gather,True
1,rule,6,5.632,5.0,1.061,24.582,3.4769,1.5854,10,gather,True
1,rule,7,6.213,5.0,1.115,26.604,3.4769,1.5854,10,gather,True
1,rule,8,5.541,5.0,0.838,24.265,3.4769,1.5854,10,gather,True
1,rule,9,5.083,5.0,0.811,22.672,3.4769,1.5854,10,gather,True
2,rule,0,5.637,5.0,0.854,23.081,3.2077,1.4824,10,gather,True
2,rule,1,6.851,5.0,1.139,26.978,3.2077,1.4824,10,gather,True
2,rule,2,5.45,6.971,1.106,24.453,3.2077,1.4824,10,work,True
2,rule,3,5.747,5.0,0.902,23.436,3.2077,1.4824,10,gather,True
2,rule,4,5.996,5.0,0.998,24.234,3.2077,1.4824,10,gather,True
2,rule,5,6.382,5.0,0.98,25.473,3.2077,1.4824,10,gather,True
2,rule,6,6.308,5.0,1.061,25.233,3.2077,1.4824,10,gather,True
2,rule,7,6.524,5.0,1.115,25.928,3.2077,1.4824,10,gather,True
2,rule,8,5.77,5.0,0.838,23.508,3.2077,1.4824,10,gather,True
2,rule,9,5.349,5.0,0.811,22.158,3.2077,1.4824,10,gather,True
3,rule,0,4.637,6.32,0.854,20.201,2.9939,1.3996,10,work,True
3,rule,1,7.447,5.0,1.139,27.294,2.9939,1.3996,10,gather,True
3,rule,2,4.45,8.582,1.106,21.904,2.9939,1.3996,10,work,True
3,rule,3,4.747,6.496,0.902,20.709,2.9939,1.3996,10,work,True
3,rule,4,6.29,5.0,0.998,23.832,2.9939,1.3996,10,gather,True
3,rule,5,5.382,6.737,0.98,22.851,2.9939,1.3996,10,work,True
3,rule,6,5.308,6.805,1.061,22.694,2.9939,1.3996,10,work,True
3,rule,7,5.524,6.869,1.115,23.409,2.9939,1.3996,10,work,True
3,rule,8,4.77,6.078,0.838,20.357,2.9939,1.3996,10,work,True
3,rule,9,5.57,5.0,0.811,21.675,2.9939,1.3996,10,gather,True
4,rule,0,4.888,6.32,0.854,23.327,3.4797,1.5864,10,gather,True
4,rule,1,7.836,5.0,1.139,32.267,3.4797,1.5864,10,gather,True
4,rule,2,5.065,8.582,1.106,26.205,3.4797,1.5864,10,gather,True
4,rule,3,4.811,6.496,0.902,23.237,3.4797,1.5864,10,gather,True
4,rule,4,6.412,5.0,0.998,27.311,3.4797,1.5864,10,gather,True
4,rule,5,5.857,6.737,0.98,27.117,3.4797,1.5864,10,gather,True
4,rule,6,6.04,6.805,1.061,27.821,3.4797,1.5864,10,gather,True
4,rule,7,6.123,6.869,1.115,28.176,3.4797,1.5864,10,gather,True
4,rule,8,4.925,6.078,0.838,23.214,3.4797,1.5864,10,gather,True
4,rule,9,5.535,5.0,0.811,24.26,3.4797,1.5864,10,gather,True
5,rule,0,5.065,6.32,0.854,22.455,3.1858,1.474,10,gather,True
5,rule,1,8.175,5.0,1.139,31.043,3.1858,1.474,10,gather,True
5,rule,2,5.813,8.582,1.106,27.101,3.1858,1.474,10,gather,True
5,rule,3,5.036,6.496,0.902,22.54,3.1858,1.474,10,gather,True
5,rule,4,6.934,5.0,0.998,27.091,3.1858,1.474,10,gather,True
5,rule,5,6.276,6.737,0.98,26.731,3.1858,1.474,10,gather,True
5,rule,6,6.532,6.805,1.061,27.613,3.1858,1.474,10,gather,True
5,rule,7,6.74,6.869,1.115,28.343,3.1858,1.474,10,gather,True
5,rule,8,5.066,6.078,0.838,22.217,3.1858,1.474,10,gather,True
5,rule,9,5.839,5.0,0.811,23.603,3.1858,1.474,10,gather,True
6,rule,0,5.237,6.32,0.854,21.467,2.8921,1.3598,10,gather,True
6,rule,1,8.342,5.0,1.139,29.126,2.8921,1.3598,10,gather,True
6,rule,2,4.813,10.213,1.106,24.133,2.8921,1.3598,10,work,True
6,rule,3,5.466,6.496,0.902,22.305,2.8921,1.3598,10,gather,True
6,rule,4,5.934,6.463,0.998,23.625,2.8921,1.3598,10,work,True
6,rule,5,5.276,8.269,0.98,23.527,2.8921,1.3598,10,work,True
6,rule,6,7.078,6.805,1.061,27.275,2.8921,1.3598,10,gather,True
6,rule,7,5.74,8.62,1.115,25.223,2.8921,1.3598,10,work,True
6,rule,8,4.066,7.385,0.838,19.144,2.8921,1.3598,10,work,True
6,rule,9,4.839,6.089,0.811,20.085,2.8921,1.3598,10,work,True
7,rule,0,5.21,6.32,0.854,23.214,3.2429,1.496,10,gather,True
7,rule,1,8.898,5.0,1.139,33.854,3.2429,1.496,10,gather,True
7,rule,2,5.187,10.213,1.106,27.035,3.2429,1.496,10,gather,True
7,rule,3,5.907,6.496,0.902,25.652,3.2429,1.496,10,gather,True
7,rule,4,6.273,6.463,0.998,26.807,3.2429,1.496,10,gather,True
7,rule,5,5.783,8.269,0.98,27.023,3.2429,1.496,10,gather,True
7,rule,6,6.078,8.287,1.061,27.998,3.2429,1.496,10,work,True
7,rule,7,6.165,8.62,1.115,28.612,3.2429,1.496,10,gather,True
7,rule,8,4.472,7.385,0.838,21.886,3.2429,1.496,10,gather,True
7,rule,9,4.847,6.089,0.811,21.806,3.2429,1.496,10,gather,True
8,rule,0,5.295,6.32,0.854,22.637,3.082,1.4339,10,gather,True
8,rule,1,7.898,7.023,1.139,31.364,3.082,1.4339,10,work,True
8,rule,2,5.83,10.213,1.106,28.182,3.082,1.4339,10,gather,True
8,rule,3,6.211,6.496,0.902,25.639,3.082,1.4339,10,gather,True
8,rule,4,6.515,6.463,0.998,26.542,3.082,1.4339,10,gather,True
8,rule,5,6.228,8.269,0.98,27.465,3.082,1.4339,10,gather,True
8,rule,6,6.513,8.287,1.061,28.361,3.082,1.4339,10,gather,True
8,rule,7,6.486,8.62,1.115,28.609,3.082,1.4339,10,gather,True
8,rule,8,4.601,7.385,0.838,21.564,3.082,1.4339,10,gather,True
8,rule,9,4.934,6.089,0.811,21.296,3.082,1.4339,10,gather,True
9,rule,0,5.321,6.32,0.854,22.062,2.9586,1.3858,10,gather,True
9,rule,1,6.898,8.849,1.139,29.257,2.9586,1.3858,10,work,True
9,rule,2,6.182,10.213,1.106,28.503,2.9586,1.3858,10,gather,True
9,rule,3,5.211,7.973,0.902,23.39,2.9586,1.3858,10,work,True
9,rule,4,6.921,6.463,0.998,26.939,2.9586,1.3858,10,gather,True
9,rule,5,5.228,9.728,0.98,25.197,2.9586,1.3858,10,work,True
9,rule,6,6.788,8.287,1.061,28.37,2.9586,1.3858,10,gather,True
9,rule,7,7.189,8.62,1.115,29.889,2.9586,1.3858,10,gather,True
9,rule,8,4.972,7.385,0.838,22.096,2.9586,1.3858,10,gather,True
9,rule,9,3.934,7.337,0.811,18.977,2.9586,1.3858,10,work,True
10,rule,0,5.302,6.32,0.854,22.733,3.0954,1.439,10,gather,True
10,rule,1,7.285,8.849,1.139,31.398,3.0954,1.439,10,gather,True
10,rule,2,6.894,10.213,1.106,31.553,3.0954,1.439,10,gather,True
10,rule,3,5.673,7.973,0.902,25.535,3.0954,1.439,10,gather,True
10,rule,4,5.921,7.873,0.998,26.201,3.0954,1.439,10,work,True
10,rule,5,5.791,9.728,0.98,27.653,3.0954,1.439,10,gather,True
10,rule,6,5.788,9.743,1.061,27.659,3.0954,1.439,10,work,True
10,rule,7,6.189,10.47,1.115,29.626,3.0954,1.439,10,work,True
10,rule,8,5.293,7.385,0.838,23.769,3.0954,1.439,10,gather,True
10,rule,9,4.107,7.337,0.811,20.051,3.0954,1.439,10,gather,True
11,rule,0,5.534,6.32,0.854,23.621,3.1262,1.451,10,gather,True
11,rule,1,6.285,10.679,1.139,30.327,3.1262,1.451,10,work,True
11,rule,2,7.372,10.213,1.106,33.26,3.1262,1.451,10,gather,True
11,rule,3,5.782,7.973,0.902,26.05,3.1262,1.451,10,gather,True
11,rule,4,6.477,7.873,0.998,28.122,3.1262,1.451,10,gather,True
11,rule,5,6.118,9.728,0.98,28.856,3.1262,1.451,10,gather,True
11,rule,6,6.405,9.743,1.061,29.766,3.1262,1.451,10,gather,True
11,rule,7,6.867,10.47,1.115,31.938,3.1262,1.451,10,gather,True
11,rule,8,5.612,7.385,0.838,24.928,3.1262,1.451,10,gather,True
11,rule,9,4.38,7.337,0.811,21.029,3.1262,1.451,10,gather,True
12,rule,0,5.937,6.32,0.854,23.753,2.9362,1.3771,10,gather,True
12,rule,1,5.285,12.216,1.139,27.733,2.9362,1.3771,10,work,True
12,rule,2,7.774,10.213,1.106,33.039,2.9362,1.3771,10,gather,True
12,rule,3,4.782,9.052,0.902,23.094,2.9362,1.3771,10,work,True
12,rule,4,6.855,7.873,0.998,28.0,2.9362,1.3771,10,gather,True
12,rule,5,6.396,9.728,0.98,28.509,2.9362,1.3771,10,gather,True
12,rule,6,5.405,11.143,1.061,27.013,2.9362,1.3771,10,work,True
12,rule,7,7.161,10.47,1.115,31.496,2.9362,1.3771,10,gather,True
12,rule,8,4.612,8.821,0.838,22.362,2.9362,1.3771,10,work,True
12,rule,9,4.734,7.337,0.811,21.237,2.9362,1.3771,10,gather,True
13,rule,0,5.99,6.32,0.854,24.725,3.0728,1.4303,10,gather,True
13,rule,1,5.689,12.216,1.139,29.696,3.0728,1.4303,10,gather,True
13,rule,2,8.092,10.213,1.106,35.077,3.0728,1.4303,10,gather,True
13,rule,3,5.108,9.052,0.902,24.748,3.0728,1.4303,10,gather,True
13,rule,4,5.855,9.563,0.998,27.554,3.0728,1.4303,10,work,True
13,rule,5,5.396,11.294,0.98,27.876,3.0728,1.4303,10,work,True
13,rule,6,5.907,11.143,1.061,29.295,3.0728,1.4303,10,gather,True
13,rule,7,7.711,10.47,1.115,34.165,3.0728,1.4303,10,gather,True
13,rule,8,4.846,8.821,0.838,23.713,3.0728,1.4303,10,gather,True
13,rule,9,4.685,7.337,0.811,21.734,3.0728,1.4303,10,gather,True
14,rule,0,5.975,6.32,0.854,24.529,3.0475,1.4205,10,gather,True
14,rule,1,6.099,12.216,1.139,30.804,3.0475,1.4205,10,gather,True
14,rule,2,8.454,10.213,1.106,35.978,3.0475,1.4205,10,gather,True
14,rule,3,5.273,9.052,0.902,25.122,3.0475,1.4205,10,gather,True
14,rule,4,6.141,9.563,0.998,28.278,3.0475,1.4205,10,gather,True
14,rule,5,5.772,11.294,0.98,28.884,3.0475,1.4205,10,gather,True
14,rule,6,6.238,11.143,1.061,30.155,3.0475,1.4205,10,gather,True
14,rule,7,8.028,10.47,1.115,34.935,3.0475,1.4205,10,gather,True
14,rule,8,4.855,8.821,0.838,23.618,3.0475,1.4205,10,gather,True
14,rule,9,4.726,7.337,0.811,21.739,3.0475,1.4205,10,gather,True
15,rule,0,4.975,7.533,0.854,21.893,2.8864,1.3576,10,work,True
15,rule,1,6.695,12.216,1.139,31.542,2.8864,1.3576,10,gather,True
15,rule,2,8.892,10.213,1.106,35.878,2.8864,1.3576,10,gather,True
15,rule,3,4.273,10.292,0.902,22.626,2.8864,1.3576,10,work,True
15,rule,4,6.523,9.563,0.998,28.39,2.8864,1.3576,10,gather,True
15,rule,5,4.772,12.511,0.98,26.285,2.8864,1.3576,10,work,True
15,rule,6,6.465,11.143,1.061,29.804,2.8864,1.3576,10,gather,True
15,rule,7,7.028,11.92,1.115,32.204,2.8864,1.3576,10,work,True
15,rule,8,5.258,8.821,0.838,23.997,2.8864,1.3576,10,gather,True
15,rule,9,4.933,7.337,0.811,21.574,2.8864,1.3576,10,gather,True
16,rule,0,5.361,7.533,0.854,23.661,3.0083,1.4052,10,gather,True
16,rule,1,6.965,12.216,1.139,33.169,3.0083,1.4052,10,gather,True
16,rule,2,7.892,11.857,1.106,35.599,3.0083,1.4052,10,work,True
16,rule,3,4.393,10.292,0.902,23.508,3.0083,1.4052,10,gather,True
16,rule,4,5.523,10.796,0.998,27.41,3.0083,1.4052,10,work,True
16,rule,5,5.383,12.511,0.98,28.704,3.0083,1.4052,10,gather,True
16,rule,6,6.659,11.143,1.061,31.174,3.0083,1.4052,10,gather,True
16,rule,7,7.348,11.92,1.115,34.026,3.0083,1.4052,10,gather,True
16,rule,8,5.682,8.821,0.838,25.915,3.0083,1.4052,10,gather,True
16,rule,9,5.055,7.337,0.811,22.544,3.0083,1.4052,10,gather,True
17,rule,0,5.664,7.533,0.854,24.391,2.9763,1.3928,10,gather,True
17,rule,1,5.965,13.67,1.139,31.423,2.9763,1.3928,10,work,True
17,rule,2,8.126,11.857,1.106,36.043,2.9763,1.3928,10,gather,True
17,rule,3,4.624,10.292,0.902,24.053,2.9763,1.3928,10,gather,True
17,rule,4,5.68,10.796,0.998,27.702,2.9763,1.3928,10,gather,True
17,rule,5,5.898,12.511,0.98,30.066,2.9763,1.3928,10,gather,True
17,rule,6,5.659,12.819,1.061,29.661,2.9763,1.3928,10,work,True
17,rule,7,6.348,13.548,1.115,32.443,2.9763,1.3928,10,work,True
17,rule,8,4.682,9.944,0.838,23.879,2.9763,1.3928,10,work,True
17,rule,9,4.055,8.49,0.811,20.559,2.9763,1.3928,10,work,True
18,rule,0,5.632,7.533,0.854,25.84,3.2506,1.4989,10,gather,True
18,rule,1,6.429,13.67,1.139,34.566,3.2506,1.4989,10,gather,True
18,rule,2,7.126,13.414,1.106,36.578,3.2506,1.4989,10,work,True
18,rule,3,4.912,10.292,0.902,26.259,3.2506,1.4989,10,gather,True
18,rule,4,5.938,10.796,0.998,30.096,3.2506,1.4989,10,gather,True
18,rule,5,6.375,12.511,0.98,33.234,3.2506,1.4989,10,gather,True
18,rule,6,6.261,12.819,1.061,33.172,3.2506,1.4989,10,gather,True
18,rule,7,7.023,13.548,1.115,36.378,3.2506,1.4989,10,gather,True
18,rule,8,5.084,9.944,0.838,26.471,3.2506,1.4989,10,gather,True
18,rule,9,4.249,8.49,0.811,22.303,3.2506,1.4989,10,gather,True
19,rule,0,5.667,7.533,0.854,24.91,3.0662,1.4277,10,gather,True
19,rule,1,5.429,15.1,1.139,31.745,3.0662,1.4277,10,work,True
19,rule,2,6.126,15.022,1.106,33.806,3.0662,1.4277,10,work,True
19,rule,3,4.998,10.292,0.902,25.616,3.0662,1.4277,10,gather,True
19,rule,4,6.421,10.796,0.998,30.484,3.0662,1.4277,10,gather,True
19,rule,5,6.49,12.511,0.98,32.41,3.0662,1.4277,10,gather,True
19,rule,6,6.72,12.819,1.061,33.424,3.0662,1.4277,10,gather,True
19,rule,7,6.023,14.942,1.115,33.41,3.0662,1.4277,10,work,True
19,rule,8,5.139,9.944,0.838,25.7,3.0662,1.4277,10,gather,True
19,rule,9,4.693,8.49,0.811,22.879,3.0662,1.4277,10,gather,True
20,rule,0,5.724,7.533,0.854,25.669,3.1685,1.4673,10,gather,True
20,rule,1,5.825,15.1,1.139,33.556,3.1685,1.4673,10,gather,True
20,rule,2,6.673,15.022,1.106,36.167,3.1685,1.4673,10,gather,True
20,rule,3,5.441,10.292,0.902,27.532,3.1685,1.4673,10,gather,True
20,rule,4,5.421,11.986,0.998,29.164,3.1685,1.4673,10,work,True
20,rule,5,6.659,12.511,0.98,33.609,3.1685,1.4673,10,gather,True
20,rule,6,5.72,14.383,1.061,32.507,3.1685,1.4673,10,work,True
20,rule,7,5.023,16.322,1.115,32.238,3.1685,1.4673,10,work,True
20,rule,8,5.211,9.944,0.838,26.454,3.1685,1.4673,10,gather,True
20,rule,9,5.056,8.49,0.811,24.512,3.1685,1.4673,10,gather,True
21,rule,0,5.967,7.533,0.854,26.902,3.2462,1.4972,10,gather,True
21,rule,1,6.286,15.1,1.139,35.506,3.2462,1.4972,10,gather,True
21,rule,2,7.262,15.022,1.106,38.595,3.2462,1.4972,10,gather,True
21,rule,3,5.699,10.292,0.902,28.791,3.2462,1.4972,10,gather,True
21,rule,4,5.997,11.986,0.998,31.454,3.2462,1.4972,10,gather,True
21,rule,5,6.787,12.511,0.98,34.542,3.2462,1.4972,10,gather,True
21,rule,6,6.183,14.383,1.061,34.455,3.2462,1.4972,10,gather,True
21,rule,7,5.763,16.322,1.115,35.029,3.2462,1.4972,10,gather,True
21,rule,8,5.184,9.944,0.838,26.771,3.2462,1.4972,10,gather,True
21,rule,9,5.438,8.49,0.811,26.142,3.2462,1.4972,10,gather,True
22,rule,0,5.958,7.533,0.854,25.136,2.9548,1.3843,10,gather,True
22,rule,1,7.007,15.1,1.139,35.805,2.9548,1.3843,10,gather,True
22,rule,2,7.46,15.022,1.106,37.064,2.9548,1.3843,10,gather,True
22,rule,3,5.855,10.292,0.902,27.59,2.9548,1.3843,10,gather,True
22,rule,4,4.997,13.538,0.998,28.304,2.9548,1.3843,10,work,True
22,rule,5,5.787,13.974,0.98,31.072,2.9548,1.3843,10,work,True
22,rule,6,6.806,14.383,1.061,34.494,2.9548,1.3843,10,gather,True
22,rule,7,4.763,17.851,1.115,31.925,2.9548,1.3843,10,work,True
22,rule,8,5.492,9.944,0.838,26.172,2.9548,1.3843,10,gather,True
22,rule,9,5.666,8.49,0.811,25.231,2.9548,1.3843,10,gather,True
23,rule,0,6.139,7.533,0.854,26.012,3.0101,1.4059,10,gather,True
23,rule,1,7.272,15.1,1.139,36.991,3.0101,1.4059,10,gather,True
23,rule,2,6.46,16.594,1.106,36.038,3.0101,1.4059,10,work,True
23,rule,3,5.968,10.292,0.902,28.256,3.0101,1.4059,10,gather,True
23,rule,4,5.563,13.538,0.998,30.282,3.0101,1.4059,10,gather,True
23,rule,5,6.222,13.974,0.98,32.702,3.0101,1.4059,10,gather,True
23,rule,6,5.806,15.729,1.061,33.207,3.0101,1.4059,10,work,True
23,rule,7,5.338,17.851,1.115,33.92,3.0101,1.4059,10,gather,True
23,rule,8,5.537,9.944,0.838,26.611,3.0101,1.4059,10,gather,True
23,rule,9,5.758,8.49,0.811,25.822,3.0101,1.4059,10,gather,True
24,rule,0,5.139,8.572,0.854,23.94,2.9903,1.3982,10,work,True
24,rule,1,7.658,15.1,1.139,37.999,2.9903,1.3982,10,gather,True
24,rule,2,5.46,17.797,1.106,34.123,2.9903,1.3982,10,work,True
24,rule,3,4.968,11.376,0.902,26.232,2.9903,1.3982,10,work,True
24,rule,4,5.832,13.538,0.998,30.977,2.9903,1.3982,10,gather,True
24,rule,5,5.222,15.403,0.98,31.018,2.9903,1.3982,10,work,True
24,rule,6,4.806,17.014,1.061,31.387,2.9903,1.3982,10,work,True
24,rule,7,5.857,17.851,1.115,35.364,2.9903,1.3982,10,gather,True
24,rule,8,4.537,11.188,0.838,24.756,2.9903,1.3982,10,work,True
24,rule,9,5.745,8.49,0.811,25.671,2.9903,1.3982,10,gather,True
25,rule,0,5.189,8.572,0.854,26.102,3.3784,1.5479,10,gather,True
25,rule,1,7.998,15.1,1.139,42.12,3.3784,1.5479,10,gather,True
25,rule,2,6.198,17.797,1.106,38.735,3.3784,1.5479,10,gather,True
25,rule,3,5.47,11.376,0.902,29.856,3.3784,1.5479,10,gather,True
25,rule,4,6.409,13.538,0.998,35.19,3.3784,1.5479,10,gather,True
25,rule,5,5.675,15.403,0.98,34.577,3.3784,1.5479,10,gather,True
25,rule,6,5.195,17.014,1.061,34.566,3.3784,1.5479,10,gather,True
25,rule,7,6.294,17.851,1.115,39.115,3.3784,1.5479,10,gather,True
25,rule,8,4.856,11.188,0.838,27.593,3.3784,1.5479,10,gather,True
25,rule,9,6.085,8.49,0.811,29.047,3.3784,1.5479,10,gather,True
26,rule,0,5.608,8.572,0.854,25.624,3.0409,1.4179,10,gather,True
26,rule,1,6.998,16.667,1.139,37.947,3.0409,1.4179,10,work,True
26,rule,2,5.198,19.18,1.106,34.985,3.0409,1.4179,10,work,True
26,rule,3,5.665,11.376,0.902,28.602,3.0409,1.4179,10,gather,True
26,rule,4,5.409,14.857,0.998,31.305,3.0409,1.4179,10,work,True
26,rule,5,6.172,15.403,0.98,34.172,3.0409,1.4179,10,gather,True
26,rule,6,5.548,17.014,1.061,33.885,3.0409,1.4179,10,gather,True
26,rule,7,6.694,17.851,1.115,38.206,3.0409,1.4179,10,gather,True
26,rule,8,4.958,11.188,0.838,26.266,3.0409,1.4179,10,gather,True
26,rule,9,6.208,8.49,0.811,27.37,3.0409,1.4179,10,gather,True
27,rule,0,5.986,8.572,0.854,27.185,3.1097,1.4446,10,gather,True
27,rule,1,7.679,16.667,1.139,40.548,3.1097,1.4446,10,gather,True
27,rule,2,5.797,19.18,1.106,37.207,3.1097,1.4446,10,gather,True
27,rule,3,5.754,11.376,0.902,29.269,3.1097,1.4446,10,gather,True
27,rule,4,5.683,14.857,0.998,32.531,3.1097,1.4446,10,gather,True
27,rule,5,5.172,16.515,0.98,32.599,3.1097,1.4446,10,work,True
27,rule,6,6.057,17.014,1.061,35.85,3.1097,1.4446,10,gather,True
27,rule,7,7.278,17.851,1.115,40.481,3.1097,1.4446,10,gather,True
27,rule,8,4.931,11.188,0.838,26.521,3.1097,1.4446,10,gather,True
27,rule,9,6.387,8.49,0.811,28.351,3.1097,1.4446,10,gather,True
28,rule,0,4.986,10.057,0.854,24.734,2.9437,1.38,10,work,True
28,rule,1,6.679,18.116,1.139,37.778,2.9437,1.38,10,work,True
28,rule,2,6.542,19.18,1.106,38.438,2.9437,1.38,10,gather,True
28,rule,3,6.087,11.376,0.902,29.293,2.9437,1.38,10,gather,True
28,rule,4,5.859,14.857,0.998,32.103,2.9437,1.38,10,gather,True
28,rule,5,4.172,17.875,0.98,30.157,2.9437,1.38,10,work,True
28,rule,6,6.372,17.014,1.061,35.77,2.9437,1.38,10,gather,True
28,rule,7,6.278,19.331,1.115,37.81,2.9437,1.38,10,work,True
28,rule,8,5.353,11.188,0.838,26.946,2.9437,1.38,10,gather,True
28,rule,9,6.659,8.49,0.811,28.091,2.9437,1.38,10,gather,True
29,rule,0,5.437,10.057,0.854,26.747,3.0695,1.429,10,gather,True
29,rule,1,5.679,19.309,1.139,36.741,3.0695,1.429,10,work,True
29,rule,2,7.052,19.18,1.106,40.826,3.0695,1.429,10,gather,True
29,rule,3,5.087,12.574,0.902,28.187,3.0695,1.429,10,work,True
29,rule,4,6.041,14.857,0.998,33.4,3.0695,1.429,10,gather,True
29,rule,5,4.519,17.875,0.98,31.747,3.0695,1.429,10,gather,True
29,rule,6,5.372,18.198,1.061,34.686,3.0695,1.429,10,work,True
29,rule,7,6.892,19.331,1.115,40.485,3.0695,1.429,10,gather,True
29,rule,8,5.283,11.188,0.838,27.405,3.0695,1.429,10,gather,True
29,rule,9,5.659,9.515,0.811,26.884,3.0695,1.429,10,work,True
