timestep,policy,alive,dead_total,deaths_this_step,total_food,total_coin,price,trades,gather_count,work_count,gini_survivor,gini_population
0,rule,10,0,0,54.153,50.0,3.9145,0,10,0,0.0212,0.0212
1,rule,10,0,0,57.22,50.0,3.4769,0,10,0,0.0336,0.0336
2,rule,10,0,0,60.015,51.971,3.2077,0,9,1,0.0323,0.0323
3,rule,10,0,0,54.124,62.886,2.9939,0,3,7,0.0471,0.0471
4,rule,10,0,0,57.491,62.886,3.4797,0,10,0,0.0565,0.0565
5,rule,10,0,0,61.476,62.886,3.1858,0,10,0,0.0606,0.0606
6,rule,10,0,0,56.792,71.659,2.8921,0,4,6,0.0697,0.0697
7,rule,10,0,0,58.819,73.141,3.2429,0,9,1,0.0696,0.0696
8,rule,10,0,0,60.511,75.165,3.082,0,9,1,0.0677,0.0677
9,rule,10,0,0,58.644,81.175,2.9586,0,6,4,0.0775,0.0775
10,rule,10,0,0,58.244,85.891,3.0954,0,7,3,0.0756,0.0756
11,rule,10,0,0,60.832,87.721,3.1262,0,9,1,0.0746,0.0746
12,rule,10,0,0,58.942,93.174,2.9362,0,6,4,0.0791,0.0791
13,rule,10,0,0,59.279,96.429,3.0728,0,8,2,0.0833,0.0833
14,rule,10,0,0,61.562,96.429,3.0475,0,10,0,0.0896,0.0896
15,rule,10,0,0,59.814,101.55,2.8864,0,6,4,0.0967,0.0967
16,rule,10,0,0,60.26,104.426,3.0083,0,8,2,0.0895,0.0895
17,rule,10,0,0,56.701,111.46,2.9763,0,5,5,0.091,0.091
18,rule,10,0,0,59.03,113.017,3.2506,0,9,1,0.0876,0.0876
19,rule,10,0,0,57.706,117.449,3.0662,0,7,3,0.0742,0.0742
20,rule,10,0,0,56.754,121.583,3.1685,0,7,3,0.071,0.071
21,rule,10,0,0,60.565,121.583,3.2462,0,10,0,0.0736,0.0736
22,rule,10,0,0,59.79,126.126,2.9548,0,7,3,0.0788,0.0788
23,rule,10,0,0,60.064,129.045,3.0101,0,8,2,0.0725,0.0725
24,rule,10,0,0,55.224,136.329,2.9903,0,4,6,0.0858,0.0858
25,rule,10,0,0,59.369,136.329,3.3784,0,10,0,0.0859,0.0859
26,rule,10,0,0,58.458,140.599,3.0409,0,7,3,0.0793,0.0793
27,rule,10,0,0,60.724,141.711,3.1097,0,9,1,0.0857,0.0857
28,rule,10,0,0,58.985,147.485,2.9437,0,6,4,0.0838,0.0838
29,rule,10,0,0,57.021,152.083,3.0695,0,6,4,0.0886,0.0886
